jj1 = 28, max_th = 9.912790e-01, time=2024-12-30 12:28:28 
jj1 = 14, max_th = 2.805057e+00, time=2024-12-30 12:28:42 
jj1 = 7, max_th = 2.813941e+00, time=2024-12-30 12:28:45 
jj1 = 56, max_th = 2.626769e+00, time=2024-12-30 12:30:17 
jj1 = 49, max_th = 2.623348e+00, time=2024-12-30 12:30:20 
jj1 = 42, max_th = 1.371841e+00, time=2024-12-30 12:30:50 
jj1 = 6, max_th = 1.399545e+00, time=2024-12-30 12:31:44 
jj1 = 21, max_th = 2.432849e+00, time=2024-12-30 12:32:01 
jj1 = 35, max_th = 2.198546e+00, time=2024-12-30 12:32:30 
jj1 = 13, max_th = 2.437515e+00, time=2024-12-30 12:33:37 
jj1 = 12, max_th = 9.876937e-01, time=2024-12-30 12:35:10 
jj1 = 27, max_th = 2.220419e+00, time=2024-12-30 12:35:13 
jj1 = 20, max_th = 2.628904e+00, time=2024-12-30 12:35:22 
jj1 = 48, max_th = 2.433960e+00, time=2024-12-30 12:35:24 
jj1 = 34, max_th = 1.399591e+00, time=2024-12-30 12:35:29 
jj1 = 41, max_th = 1.701025e+00, time=2024-12-30 12:35:45 
jj1 = 19, max_th = 9.464212e-01, time=2024-12-30 12:36:39 
jj1 = 55, max_th = 1.981093e+00, time=2024-12-30 12:37:43 
jj1 = 5, max_th = 1.711355e+00, time=2024-12-30 12:37:55 
jj1 = 11, max_th = 2.445932e+00, time=2024-12-30 12:39:37 
jj1 = 40, max_th = 1.383937e+00, time=2024-12-30 12:39:45 
jj1 = 10, max_th = -2.015346e-03, time=2024-12-30 12:39:55 
jj1 = 26, max_th = 2.427029e+00, time=2024-12-30 12:40:24 
jj1 = 47, max_th = 1.703596e+00, time=2024-12-30 12:40:59 
jj1 = 25, max_th = 9.821100e-01, time=2024-12-30 12:41:56 
jj1 = 33, max_th = 2.213225e+00, time=2024-12-30 12:42:06 
jj1 = 4, max_th = 2.433244e+00, time=2024-12-30 12:42:58 
jj1 = 39, max_th = 1.405492e+00, time=2024-12-30 12:43:29 
jj1 = 18, max_th = 1.978300e+00, time=2024-12-30 12:44:08 
jj1 = 54, max_th = 1.961489e+00, time=2024-12-30 12:44:53 
jj1 = 9, max_th = 2.218050e+00, time=2024-12-30 12:46:39 
jj1 = 46, max_th = 1.727231e+00, time=2024-12-30 12:47:34 
jj1 = 38, max_th = 1.700329e+00, time=2024-12-30 12:47:57 
jj1 = 17, max_th = 1.369912e+00, time=2024-12-30 12:48:07 
jj1 = 53, max_th = 2.607596e+00, time=2024-12-30 12:48:10 
jj1 = 3, max_th = 2.389652e+00, time=2024-12-30 12:48:20 
jj1 = 24, max_th = 2.228389e+00, time=2024-12-30 12:48:42 
jj1 = 32, max_th = 1.995590e+00, time=2024-12-30 12:48:44 
jj1 = 45, max_th = 2.808332e+00, time=2024-12-30 12:49:21 
jj1 = 31, max_th = 1.403691e+00, time=2024-12-30 12:52:25 
jj1 = 37, max_th = 2.431491e+00, time=2024-12-30 12:53:05 
jj1 = 8, max_th = 2.218410e+00, time=2024-12-30 12:53:25 
jj1 = 16, max_th = 1.704757e+00, time=2024-12-30 12:53:49 
jj1 = 52, max_th = 2.211488e+00, time=2024-12-30 12:54:49 
jj1 = 2, max_th = 1.723424e+00, time=2024-12-30 12:54:54 
jj1 = 23, max_th = 2.215407e+00, time=2024-12-30 12:55:23 
jj1 = 44, max_th = 2.190086e+00, time=2024-12-30 12:56:00 
jj1 = 36, max_th = 1.405424e+00, time=2024-12-30 12:56:49 
jj1 = 1, max_th = 1.387433e+00, time=2024-12-30 12:59:25 
jj1 = 30, max_th = 1.988621e+00, time=2024-12-30 13:00:29 
jj1 = 174, max_th = 1.685041e+00, time=2024-12-30 13:00:36 
jj1 = 15, max_th = 1.693618e+00, time=2024-12-30 13:00:37 
jj1 = 51, max_th = 2.435740e+00, time=2024-12-30 13:00:48 
jj1 = 115, max_th = 9.938930e-01, time=2024-12-30 13:01:27 
jj1 = 233, max_th = 9.981775e-01, time=2024-12-30 13:02:30 
jj1 = 22, max_th = 1.729509e+00, time=2024-12-30 13:03:45 
jj1 = 410, max_th = 1.704468e+00, time=2024-12-30 13:04:32 
jj1 = 114, max_th = 2.639163e+00, time=2024-12-30 13:05:42 
jj1 = 43, max_th = 1.968733e+00, time=2024-12-30 13:05:46 
jj1 = 173, max_th = 2.421828e+00, time=2024-12-30 13:07:49 
jj1 = 29, max_th = 2.212299e+00, time=2024-12-30 13:09:28 
jj1 = 50, max_th = 2.230239e+00, time=2024-12-30 13:09:59 
jj1 = 113, max_th = 1.409756e+00, time=2024-12-30 13:11:05 
jj1 = 232, max_th = 2.224308e+00, time=2024-12-30 13:11:47 
jj1 = 292, max_th = 2.226106e+00, time=2024-12-30 13:13:04 
jj1 = 409, max_th = 2.210922e+00, time=2024-12-30 13:13:26 
jj1 = 469, max_th = 2.212614e+00, time=2024-12-30 13:14:42 
jj1 = 351, max_th = 1.409362e+00, time=2024-12-30 13:14:50 
jj1 = 172, max_th = 1.980144e+00, time=2024-12-30 13:17:55 
jj1 = 528, max_th = 1.720833e+00, time=2024-12-30 13:18:49 
jj1 = 468, max_th = 1.403118e+00, time=2024-12-30 13:19:35 
jj1 = 112, max_th = 1.727212e+00, time=2024-12-30 13:20:04 
jj1 = 527, max_th = 2.977545e+00, time=2024-12-30 13:20:07 
jj1 = 231, max_th = 1.721695e+00, time=2024-12-30 13:20:42 
jj1 = 230, max_th = -1.602658e-02, time=2024-12-30 13:21:07 
jj1 = 291, max_th = 1.990883e+00, time=2024-12-30 13:22:37 
jj1 = 171, max_th = 1.403699e+00, time=2024-12-30 13:22:51 
jj1 = 229, max_th = 9.594133e-01, time=2024-12-30 13:23:05 
jj1 = 408, max_th = 1.989318e+00, time=2024-12-30 13:23:07 
jj1 = 350, max_th = 1.717527e+00, time=2024-12-30 13:23:33 
jj1 = 111, max_th = 2.632641e+00, time=2024-12-30 13:24:34 
jj1 = 349, max_th = 2.628874e+00, time=2024-12-30 13:28:06 
jj1 = 467, max_th = 1.723239e+00, time=2024-12-30 13:28:33 
jj1 = 526, max_th = 1.718498e+00, time=2024-12-30 13:28:50 
jj1 = 170, max_th = 2.200885e+00, time=2024-12-30 13:30:08 
jj1 = 348, max_th = 9.943875e-01, time=2024-12-30 13:30:08 
jj1 = 290, max_th = 1.726288e+00, time=2024-12-30 13:31:39 
jj1 = 407, max_th = 1.989358e+00, time=2024-12-30 13:32:48 
jj1 = 228, max_th = 1.982908e+00, time=2024-12-30 13:33:06 
jj1 = 110, max_th = 1.728420e+00, time=2024-12-30 13:33:29 
jj1 = 289, max_th = 2.438596e+00, time=2024-12-30 13:38:16 
jj1 = 466, max_th = 1.980727e+00, time=2024-12-30 13:38:33 
jj1 = 525, max_th = 1.987555e+00, time=2024-12-30 13:38:33 
jj1 = 347, max_th = 2.229685e+00, time=2024-12-30 13:39:17 
jj1 = 169, max_th = 1.985222e+00, time=2024-12-30 13:40:03 
jj1 = 465, max_th = 9.925312e-01, time=2024-12-30 13:40:37 
jj1 = 406, max_th = 2.198224e+00, time=2024-12-30 13:40:38 
jj1 = 227, max_th = 1.710067e+00, time=2024-12-30 13:41:25 
jj1 = 288, max_th = 2.637016e+00, time=2024-12-30 13:42:35 
jj1 = 109, max_th = 1.982718e+00, time=2024-12-30 13:43:33 
jj1 = 168, max_th = 2.617520e+00, time=2024-12-30 13:44:45 
jj1 = 226, max_th = 1.403429e+00, time=2024-12-30 13:46:20 
jj1 = 346, max_th = 2.428115e+00, time=2024-12-30 13:46:21 
jj1 = 524, max_th = 1.679509e+00, time=2024-12-30 13:46:56 
jj1 = 405, max_th = 2.436689e+00, time=2024-12-30 13:47:25 
jj1 = 108, max_th = 1.396620e+00, time=2024-12-30 13:48:26 
jj1 = 345, max_th = 9.867396e-01, time=2024-12-30 13:48:29 
jj1 = 464, max_th = 1.708122e+00, time=2024-12-30 13:48:42 
jj1 = 404, max_th = 9.670147e-01, time=2024-12-30 13:49:30 
jj1 = 287, max_th = 1.719718e+00, time=2024-12-30 13:51:26 
jj1 = 403, max_th = 9.967156e-01, time=2024-12-30 13:51:26 
jj1 = 167, max_th = 2.201701e+00, time=2024-12-30 13:52:23 
jj1 = 402, max_th = 2.991822e+00, time=2024-12-30 13:52:35 
jj1 = 225, max_th = 2.206290e+00, time=2024-12-30 13:54:57 
jj1 = 523, max_th = 1.690125e+00, time=2024-12-30 13:55:03 
jj1 = 224, max_th = -7.453070e-05, time=2024-12-30 13:55:15 
jj1 = 286, max_th = 1.405361e+00, time=2024-12-30 13:56:33 
jj1 = 401, max_th = 2.627880e+00, time=2024-12-30 13:57:11 
jj1 = 107, max_th = 2.219377e+00, time=2024-12-30 13:57:41 
jj1 = 463, max_th = 2.226944e+00, time=2024-12-30 13:57:57 
jj1 = 344, max_th = 1.977968e+00, time=2024-12-30 13:58:40 
jj1 = 462, max_th = 9.899607e-01, time=2024-12-30 14:00:01 
jj1 = 343, max_th = 9.976003e-01, time=2024-12-30 14:00:37 
jj1 = 166, max_th = 1.724271e+00, time=2024-12-30 14:01:18 
jj1 = 522, max_th = 2.429420e+00, time=2024-12-30 14:02:05 
jj1 = 165, max_th = 9.507174e-01, time=2024-12-30 14:02:51 
jj1 = 223, max_th = 1.711386e+00, time=2024-12-30 14:03:37 
jj1 = 285, max_th = 2.217987e+00, time=2024-12-30 14:05:39 
jj1 = 106, max_th = 1.707283e+00, time=2024-12-30 14:05:45 
jj1 = 400, max_th = 1.984388e+00, time=2024-12-30 14:07:05 
jj1 = 461, max_th = 1.972003e+00, time=2024-12-30 14:10:13 
jj1 = 342, max_th = 1.966824e+00, time=2024-12-30 14:10:36 
jj1 = 521, max_th = 1.726066e+00, time=2024-12-30 14:11:02 
jj1 = 105, max_th = 1.413481e+00, time=2024-12-30 14:11:20 
jj1 = 164, max_th = 2.224455e+00, time=2024-12-30 14:12:11 
jj1 = 284, max_th = 2.436971e+00, time=2024-12-30 14:12:22 
jj1 = 222, max_th = 1.723369e+00, time=2024-12-30 14:12:38 
jj1 = 221, max_th = 9.496210e-01, time=2024-12-30 14:14:08 
jj1 = 283, max_th = 2.819516e+00, time=2024-12-30 14:14:53 
jj1 = 163, max_th = 2.634784e+00, time=2024-12-30 14:16:31 
jj1 = 399, max_th = 1.987186e+00, time=2024-12-30 14:16:54 
jj1 = 341, max_th = 2.422594e+00, time=2024-12-30 14:17:45 
jj1 = 520, max_th = 2.430304e+00, time=2024-12-30 14:18:03 
jj1 = 460, max_th = 1.985222e+00, time=2024-12-30 14:20:09 
jj1 = 282, max_th = 1.381879e+00, time=2024-12-30 14:20:14 
jj1 = 459, max_th = -7.075214e-03, time=2024-12-30 14:20:34 
jj1 = 281, max_th = -4.396984e-02, time=2024-12-30 14:20:36 
jj1 = 104, max_th = 1.971104e+00, time=2024-12-30 14:21:33 
jj1 = 162, max_th = 1.386498e+00, time=2024-12-30 14:21:53 
jj1 = 340, max_th = 1.398802e+00, time=2024-12-30 14:22:15 
jj1 = 103, max_th = 1.002187e+00, time=2024-12-30 14:23:26 
jj1 = 220, max_th = 1.977338e+00, time=2024-12-30 14:24:20 
jj1 = 458, max_th = 1.398936e+00, time=2024-12-30 14:24:59 
jj1 = 280, max_th = 1.398862e+00, time=2024-12-30 14:25:02 
jj1 = 102, max_th = 2.788711e+00, time=2024-12-30 14:26:07 
jj1 = 519, max_th = 2.215606e+00, time=2024-12-30 14:27:05 
jj1 = 398, max_th = 1.978761e+00, time=2024-12-30 14:27:06 
jj1 = 101, max_th = 9.932815e-01, time=2024-12-30 14:28:09 
jj1 = 161, max_th = 2.442368e+00, time=2024-12-30 14:28:16 
jj1 = 339, max_th = 2.404761e+00, time=2024-12-30 14:28:53 
jj1 = 397, max_th = 1.399625e+00, time=2024-12-30 14:31:05 
jj1 = 457, max_th = 1.719627e+00, time=2024-12-30 14:33:47 
jj1 = 279, max_th = 2.224381e+00, time=2024-12-30 14:34:23 
jj1 = 219, max_th = 1.972625e+00, time=2024-12-30 14:34:38 
jj1 = 160, max_th = 2.435547e+00, time=2024-12-30 14:35:05 
jj1 = 518, max_th = 1.993998e+00, time=2024-12-30 14:36:21 
jj1 = 278, max_th = 9.956872e-01, time=2024-12-30 14:36:25 
jj1 = 338, max_th = 1.715332e+00, time=2024-12-30 14:37:33 
jj1 = 100, max_th = 1.963710e+00, time=2024-12-30 14:38:02 
jj1 = 517, max_th = 2.816211e+00, time=2024-12-30 14:38:50 
jj1 = 218, max_th = 1.398849e+00, time=2024-12-30 14:39:05 
jj1 = 396, max_th = 2.216911e+00, time=2024-12-30 14:40:15 
jj1 = 395, max_th = 2.971654e+00, time=2024-12-30 14:41:37 
jj1 = 456, max_th = 1.707698e+00, time=2024-12-30 14:41:55 
jj1 = 516, max_th = 1.394250e+00, time=2024-12-30 14:43:50 
jj1 = 455, max_th = 9.866875e-01, time=2024-12-30 14:44:04 
jj1 = 217, max_th = 1.390625e+00, time=2024-12-30 14:44:17 
jj1 = 159, max_th = 1.990067e+00, time=2024-12-30 14:44:41 
jj1 = 337, max_th = 1.705393e+00, time=2024-12-30 14:45:30 
jj1 = 277, max_th = 1.987933e+00, time=2024-12-30 14:46:08 
jj1 = 216, max_th = 9.711030e-01, time=2024-12-30 14:46:23 
jj1 = 158, max_th = 9.924192e-01, time=2024-12-30 14:46:45 
jj1 = 99, max_th = 1.989285e+00, time=2024-12-30 14:47:42 
jj1 = 515, max_th = 2.627573e+00, time=2024-12-30 14:48:26 
jj1 = 454, max_th = 1.405130e+00, time=2024-12-30 14:49:12 
jj1 = 394, max_th = 1.725291e+00, time=2024-12-30 14:50:38 
jj1 = 98, max_th = 1.400210e+00, time=2024-12-30 14:51:30 
jj1 = 215, max_th = 2.447149e+00, time=2024-12-30 14:52:16 
jj1 = 214, max_th = -1.332404e-02, time=2024-12-30 14:52:42 
jj1 = 514, max_th = 1.391375e+00, time=2024-12-30 14:53:37 
jj1 = 336, max_th = 1.727102e+00, time=2024-12-30 14:54:32 
jj1 = 276, max_th = 1.993683e+00, time=2024-12-30 14:55:27 
jj1 = 157, max_th = 1.724032e+00, time=2024-12-30 14:55:41 
jj1 = 213, max_th = 1.397159e+00, time=2024-12-30 14:57:33 
jj1 = 453, max_th = 1.987254e+00, time=2024-12-30 14:59:05 
jj1 = 212, max_th = 9.757129e-01, time=2024-12-30 14:59:44 
jj1 = 393, max_th = 2.230231e+00, time=2024-12-30 14:59:48 
jj1 = 97, max_th = 2.203800e+00, time=2024-12-30 14:59:51 
jj1 = 513, max_th = 2.219395e+00, time=2024-12-30 15:02:56 
