Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 8).
jj1 = 14, max_th = 3.135335e+00, time=2025-01-01 09:51:02 
jj1 = 56, max_th = 2.632238e+00, time=2025-01-01 09:53:50 
jj1 = 49, max_th = 2.402430e+00, time=2025-01-01 09:55:09 
jj1 = 21, max_th = 2.436564e+00, time=2025-01-01 09:55:28 
jj1 = 7, max_th = 1.713710e+00, time=2025-01-01 09:56:47 
jj1 = 13, max_th = 1.692778e+00, time=2025-01-01 09:56:50 
jj1 = 42, max_th = 2.215832e+00, time=2025-01-01 09:57:11 
jj1 = 35, max_th = 2.227171e+00, time=2025-01-01 09:57:18 
jj1 = 28, max_th = 2.224531e+00, time=2025-01-01 09:57:25 
jj1 = 55, max_th = 1.380830e+00, time=2025-01-01 09:57:44 
jj1 = 48, max_th = 2.620080e+00, time=2025-01-01 09:58:34 
jj1 = 12, max_th = 1.404707e+00, time=2025-01-01 10:00:32 
jj1 = 54, max_th = 1.400982e+00, time=2025-01-01 10:00:56 
jj1 = 6, max_th = 2.420306e+00, time=2025-01-01 10:01:55 
jj1 = 20, max_th = 1.725791e+00, time=2025-01-01 10:01:58 
jj1 = 47, max_th = 1.407427e+00, time=2025-01-01 10:02:22 
jj1 = 27, max_th = 1.721703e+00, time=2025-01-01 10:03:54 
jj1 = 41, max_th = 1.983136e+00, time=2025-01-01 10:04:27 
jj1 = 34, max_th = 1.983297e+00, time=2025-01-01 10:04:30 
jj1 = 5, max_th = 1.405349e+00, time=2025-01-01 10:05:36 
jj1 = 11, max_th = 2.226487e+00, time=2025-01-01 10:07:18 
jj1 = 53, max_th = 2.217253e+00, time=2025-01-01 10:07:35 
jj1 = 19, max_th = 1.720670e+00, time=2025-01-01 10:08:21 
jj1 = 46, max_th = 2.217607e+00, time=2025-01-01 10:09:03 
jj1 = 26, max_th = 2.427215e+00, time=2025-01-01 10:09:08 
jj1 = 40, max_th = 1.717079e+00, time=2025-01-01 10:10:47 
jj1 = 33, max_th = 1.964972e+00, time=2025-01-01 10:11:41 
jj1 = 4, max_th = 2.210205e+00, time=2025-01-01 10:12:01 
jj1 = 10, max_th = 1.717674e+00, time=2025-01-01 10:13:38 
jj1 = 52, max_th = 1.715892e+00, time=2025-01-01 10:13:54 
jj1 = 18, max_th = 1.997442e+00, time=2025-01-01 10:14:33 
jj1 = 3, max_th = 1.411614e+00, time=2025-01-01 10:16:00 
jj1 = 25, max_th = 1.987103e+00, time=2025-01-01 10:16:18 
jj1 = 45, max_th = 1.976355e+00, time=2025-01-01 10:16:27 
jj1 = 39, max_th = 1.705874e+00, time=2025-01-01 10:16:31 
jj1 = 17, max_th = 1.401759e+00, time=2025-01-01 10:17:54 
jj1 = 32, max_th = 2.225947e+00, time=2025-01-01 10:18:24 
jj1 = 51, max_th = 2.202725e+00, time=2025-01-01 10:19:45 
jj1 = 9, max_th = 1.978435e+00, time=2025-01-01 10:21:20 
jj1 = 8, max_th = 2.988645e+00, time=2025-01-01 10:22:34 
jj1 = 38, max_th = 1.705471e+00, time=2025-01-01 10:22:59 
jj1 = 24, max_th = 2.190457e+00, time=2025-01-01 10:23:39 
jj1 = 31, max_th = 2.436749e+00, time=2025-01-01 10:24:23 
jj1 = 2, max_th = 1.968892e+00, time=2025-01-01 10:24:26 
jj1 = 50, max_th = 1.404029e+00, time=2025-01-01 10:24:31 
jj1 = 44, max_th = 1.978643e+00, time=2025-01-01 10:25:06 
jj1 = 16, max_th = 2.226858e+00, time=2025-01-01 10:26:10 
jj1 = 174, max_th = 1.409226e+00, time=2025-01-01 10:27:56 
jj1 = 1, max_th = 2.624255e+00, time=2025-01-01 10:29:05 
jj1 = 173, max_th = 9.901893e-01, time=2025-01-01 10:30:01 
jj1 = 43, max_th = 1.407480e+00, time=2025-01-01 10:30:20 
jj1 = 37, max_th = 1.726991e+00, time=2025-01-01 10:31:56 
jj1 = 23, max_th = 1.995731e+00, time=2025-01-01 10:32:40 
jj1 = 528, max_th = 1.710590e+00, time=2025-01-01 10:33:01 
jj1 = 30, max_th = 1.720277e+00, time=2025-01-01 10:33:13 
jj1 = 115, max_th = 2.602358e+00, time=2025-01-01 10:33:24 
jj1 = 527, max_th = -1.006748e-02, time=2025-01-01 10:33:27 
jj1 = 15, max_th = 1.976819e+00, time=2025-01-01 10:36:25 
jj1 = 172, max_th = 2.405220e+00, time=2025-01-01 10:36:36 
jj1 = 36, max_th = 1.401956e+00, time=2025-01-01 10:36:37 
jj1 = 114, max_th = 1.397420e+00, time=2025-01-01 10:38:10 
jj1 = 526, max_th = 1.377657e+00, time=2025-01-01 10:38:59 
jj1 = 469, max_th = 1.988201e+00, time=2025-01-01 10:40:09 
jj1 = 22, max_th = 2.210633e+00, time=2025-01-01 10:41:36 
jj1 = 233, max_th = 1.390006e+00, time=2025-01-01 10:41:45 
jj1 = 29, max_th = 2.222967e+00, time=2025-01-01 10:42:39 
jj1 = 468, max_th = 1.395067e+00, time=2025-01-01 10:45:06 
jj1 = 171, max_th = 1.713191e+00, time=2025-01-01 10:45:12 
jj1 = 410, max_th = 2.225745e+00, time=2025-01-01 10:46:01 
jj1 = 525, max_th = 2.416210e+00, time=2025-01-01 10:46:09 
jj1 = 113, max_th = 1.714641e+00, time=2025-01-01 10:46:52 
jj1 = 232, max_th = 1.720539e+00, time=2025-01-01 10:50:42 
jj1 = 292, max_th = 1.989453e+00, time=2025-01-01 10:51:22 
jj1 = 170, max_th = 2.443804e+00, time=2025-01-01 10:51:33 
jj1 = 351, max_th = 1.723367e+00, time=2025-01-01 10:51:43 
jj1 = 291, max_th = 9.521922e-01, time=2025-01-01 10:53:07 
jj1 = 409, max_th = 1.709339e+00, time=2025-01-01 10:54:22 
jj1 = 290, max_th = 9.671734e-01, time=2025-01-01 10:55:12 
jj1 = 467, max_th = 1.981849e+00, time=2025-01-01 10:55:13 
jj1 = 524, max_th = 2.228235e+00, time=2025-01-01 10:55:29 
jj1 = 231, max_th = 1.405775e+00, time=2025-01-01 10:55:58 
jj1 = 112, max_th = 2.217846e+00, time=2025-01-01 10:56:11 
jj1 = 408, max_th = 1.386535e+00, time=2025-01-01 10:59:48 
jj1 = 169, max_th = 1.715765e+00, time=2025-01-01 11:00:18 
jj1 = 289, max_th = 1.413990e+00, time=2025-01-01 11:00:53 
jj1 = 350, max_th = 1.920414e+00, time=2025-01-01 11:01:57 
