Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 8).
jj1 = 28, max_th = 9.851944e-01, time=2025-01-12 20:25:36 
jj1 = 42, max_th = 1.401319e+00, time=2025-01-12 20:27:20 
jj1 = 41, max_th = 2.793701e+00, time=2025-01-12 20:29:12 
jj1 = 35, max_th = 1.710790e+00, time=2025-01-12 20:30:12 
jj1 = 49, max_th = 1.947576e+00, time=2025-01-12 20:30:22 
jj1 = 7, max_th = 1.721131e+00, time=2025-01-12 20:30:33 
jj1 = 21, max_th = 1.725286e+00, time=2025-01-12 20:30:37 
jj1 = 56, max_th = 1.724606e+00, time=2025-01-12 20:30:39 
jj1 = 14, max_th = 1.995512e+00, time=2025-01-12 20:30:41 
jj1 = 27, max_th = 1.990322e+00, time=2025-01-12 20:32:36 
jj1 = 26, max_th = 3.288737e+00, time=2025-01-12 20:32:48 
jj1 = 48, max_th = 1.398999e+00, time=2025-01-12 20:33:34 
jj1 = 20, max_th = 2.632881e+00, time=2025-01-12 20:33:54 
jj1 = 34, max_th = 2.194350e+00, time=2025-01-12 20:36:31 
jj1 = 13, max_th = 1.691738e+00, time=2025-01-12 20:36:35 
jj1 = 40, max_th = 1.972717e+00, time=2025-01-12 20:36:42 
jj1 = 6, max_th = 2.219738e+00, time=2025-01-12 20:37:21 
jj1 = 55, max_th = 1.990440e+00, time=2025-01-12 20:37:44 
jj1 = 19, max_th = 1.407783e+00, time=2025-01-12 20:37:46 
jj1 = 54, max_th = 3.303245e+00, time=2025-01-12 20:37:54 
jj1 = 53, max_th = 2.817844e+00, time=2025-01-12 20:39:43 
jj1 = 25, max_th = 1.988817e+00, time=2025-01-12 20:39:55 
jj1 = 47, max_th = 1.719853e+00, time=2025-01-12 20:40:03 
jj1 = 18, max_th = 2.618662e+00, time=2025-01-12 20:41:09 
jj1 = 5, max_th = 1.373014e+00, time=2025-01-12 20:41:20 
jj1 = 52, max_th = 2.635782e+00, time=2025-01-12 20:42:54 
jj1 = 33, max_th = 2.208789e+00, time=2025-01-12 20:43:00 
jj1 = 24, max_th = 2.638587e+00, time=2025-01-12 20:43:02 
jj1 = 12, max_th = 2.216227e+00, time=2025-01-12 20:43:16 
jj1 = 46, max_th = 2.632579e+00, time=2025-01-12 20:43:18 
jj1 = 39, max_th = 2.217841e+00, time=2025-01-12 20:43:29 
jj1 = 32, max_th = 9.662516e-01, time=2025-01-12 20:44:32 
jj1 = 17, max_th = 1.402151e+00, time=2025-01-12 20:44:38 
jj1 = 23, max_th = 2.817547e+00, time=2025-01-12 20:44:51 
jj1 = 45, max_th = 9.788976e-01, time=2025-01-12 20:44:53 
jj1 = 4, max_th = 1.405956e+00, time=2025-01-12 20:45:06 
jj1 = 31, max_th = 2.815444e+00, time=2025-01-12 20:46:23 
jj1 = 51, max_th = 1.328774e+00, time=2025-01-12 20:46:35 
jj1 = 22, max_th = 1.401683e+00, time=2025-01-12 20:48:13 
jj1 = 11, max_th = 1.709698e+00, time=2025-01-12 20:49:20 
jj1 = 38, max_th = 1.723777e+00, time=2025-01-12 20:50:04 
jj1 = 30, max_th = 2.199709e+00, time=2025-01-12 20:51:12 
jj1 = 16, max_th = 1.991447e+00, time=2025-01-12 20:51:34 
jj1 = 50, max_th = 2.432032e+00, time=2025-01-12 20:51:43 
jj1 = 3, max_th = 1.992859e+00, time=2025-01-12 20:51:56 
jj1 = 2, max_th = -1.088507e-03, time=2025-01-12 20:52:13 
jj1 = 44, max_th = 1.967082e+00, time=2025-01-12 20:52:17 
jj1 = 29, max_th = 1.406416e+00, time=2025-01-12 20:55:03 
jj1 = 292, max_th = 1.968519e+00, time=2025-01-12 20:55:40 
jj1 = 10, max_th = 2.225565e+00, time=2025-01-12 20:56:11 
jj1 = 37, max_th = 2.228408e+00, time=2025-01-12 20:56:50 
jj1 = 528, max_th = 2.415768e+00, time=2025-01-12 20:56:58 
jj1 = 291, max_th = 9.869772e-01, time=2025-01-12 20:57:12 
jj1 = 43, max_th = 2.425404e+00, time=2025-01-12 20:57:39 
jj1 = 36, max_th = 2.984424e+00, time=2025-01-12 20:57:46 
jj1 = 15, max_th = 1.982668e+00, time=2025-01-12 20:58:56 
jj1 = 233, max_th = -3.604711e-02, time=2025-01-12 20:59:13 
jj1 = 1, max_th = 1.990140e+00, time=2025-01-12 20:59:16 
jj1 = 527, max_th = 2.626977e+00, time=2025-01-12 21:00:22 
jj1 = 115, max_th = 9.408015e-01, time=2025-01-12 21:00:38 
jj1 = 290, max_th = 1.413421e+00, time=2025-01-12 21:01:18 
jj1 = 351, max_th = 1.679776e+00, time=2025-01-12 21:01:23 
jj1 = 232, max_th = 2.633162e+00, time=2025-01-12 21:02:29 
jj1 = 9, max_th = 1.726193e+00, time=2025-01-12 21:02:49 
jj1 = 526, max_th = 2.638633e+00, time=2025-01-12 21:03:38 
jj1 = 469, max_th = 1.717592e+00, time=2025-01-12 21:04:28 
jj1 = 410, max_th = 2.214344e+00, time=2025-01-12 21:04:58 
jj1 = 114, max_th = 2.422880e+00, time=2025-01-12 21:07:05 
jj1 = 113, max_th = -6.068054e-03, time=2025-01-12 21:07:30 
jj1 = 468, max_th = 1.392933e+00, time=2025-01-12 21:09:30 
jj1 = 350, max_th = 2.211200e+00, time=2025-01-12 21:09:45 
jj1 = 289, max_th = 2.214110e+00, time=2025-01-12 21:09:47 
jj1 = 231, max_th = 1.712011e+00, time=2025-01-12 21:10:45 
jj1 = 288, max_th = 9.744796e-01, time=2025-01-12 21:11:53 
jj1 = 8, max_th = 1.984839e+00, time=2025-01-12 21:12:42 
jj1 = 525, max_th = 2.217437e+00, time=2025-01-12 21:12:46 
jj1 = 409, max_th = 2.211084e+00, time=2025-01-12 21:13:54 
jj1 = 287, max_th = 2.815927e+00, time=2025-01-12 21:14:23 
jj1 = 112, max_th = 2.434889e+00, time=2025-01-12 21:14:23 
jj1 = 230, max_th = 2.630814e+00, time=2025-01-12 21:15:14 
jj1 = 408, max_th = 9.815448e-01, time=2025-01-12 21:16:00 
jj1 = 349, max_th = 2.428405e+00, time=2025-01-12 21:16:54 
jj1 = 174, max_th = 1.401170e+00, time=2025-01-12 21:17:11 
jj1 = 229, max_th = 9.966771e-01, time=2025-01-12 21:17:14 
jj1 = 467, max_th = 1.723091e+00, time=2025-01-12 21:18:29 
jj1 = 524, max_th = 2.439556e+00, time=2025-01-12 21:19:21 
jj1 = 407, max_th = 2.618924e+00, time=2025-01-12 21:20:38 
jj1 = 348, max_th = 2.619890e+00, time=2025-01-12 21:21:34 
jj1 = 286, max_th = 1.727391e+00, time=2025-01-12 21:23:20 
jj1 = 111, max_th = 1.993372e+00, time=2025-01-12 21:23:43 
jj1 = 406, max_th = 2.638389e+00, time=2025-01-12 21:24:56 
jj1 = 173, max_th = 2.216205e+00, time=2025-01-12 21:26:23 
jj1 = 466, max_th = 2.203459e+00, time=2025-01-12 21:26:44 
jj1 = 347, max_th = 1.408806e+00, time=2025-01-12 21:26:59 
jj1 = 346, max_th = -5.087873e-03, time=2025-01-12 21:27:24 
jj1 = 228, max_th = 1.973144e+00, time=2025-01-12 21:27:25 
jj1 = 523, max_th = 2.220320e+00, time=2025-01-12 21:28:34 
jj1 = 522, max_th = 2.814270e+00, time=2025-01-12 21:31:02 
jj1 = 465, max_th = 2.609580e+00, time=2025-01-12 21:31:18 
jj1 = 405, max_th = 2.424067e+00, time=2025-01-12 21:32:12 
jj1 = 285, max_th = 2.222596e+00, time=2025-01-12 21:32:38 
jj1 = 110, max_th = 2.226486e+00, time=2025-01-12 21:33:03 
jj1 = 521, max_th = 9.857137e-01, time=2025-01-12 21:33:08 
jj1 = 520, max_th = 9.849864e-01, time=2025-01-12 21:35:16 
jj1 = 345, max_th = 1.716193e+00, time=2025-01-12 21:36:06 
jj1 = 172, max_th = 1.985666e+00, time=2025-01-12 21:36:20 
jj1 = 227, max_th = 1.943611e+00, time=2025-01-12 21:36:46 
jj1 = 226, max_th = -1.762917e-04, time=2025-01-12 21:37:06 
jj1 = 284, max_th = 1.369727e+00, time=2025-01-12 21:37:47 
jj1 = 171, max_th = 9.964955e-01, time=2025-01-12 21:38:18 
jj1 = 519, max_th = 1.382033e+00, time=2025-01-12 21:40:44 
jj1 = 404, max_th = 2.213429e+00, time=2025-01-12 21:41:13 
jj1 = 464, max_th = 1.982195e+00, time=2025-01-12 21:41:29 
jj1 = 109, max_th = 1.991698e+00, time=2025-01-12 21:42:38 
jj1 = 344, max_th = 1.995515e+00, time=2025-01-12 21:45:08 
jj1 = 170, max_th = 2.422259e+00, time=2025-01-12 21:45:30 
jj1 = 225, max_th = 1.721894e+00, time=2025-01-12 21:46:01 
jj1 = 283, max_th = 2.206592e+00, time=2025-01-12 21:46:26 
jj1 = 403, max_th = 1.699873e+00, time=2025-01-12 21:46:43 
jj1 = 402, max_th = -1.020307e-03, time=2025-01-12 21:47:06 
jj1 = 518, max_th = 1.711110e+00, time=2025-01-12 21:49:03 
jj1 = 343, max_th = 2.637821e+00, time=2025-01-12 21:49:25 
jj1 = 463, max_th = 1.992354e+00, time=2025-01-12 21:50:55 
jj1 = 342, max_th = 9.797118e-01, time=2025-01-12 21:51:34 
jj1 = 224, max_th = 2.436705e+00, time=2025-01-12 21:52:47 
jj1 = 108, max_th = 1.972175e+00, time=2025-01-12 21:52:52 
jj1 = 517, max_th = 1.375084e+00, time=2025-01-12 21:54:30 
jj1 = 169, max_th = 1.980634e+00, time=2025-01-12 21:55:41 
jj1 = 282, max_th = 2.221342e+00, time=2025-01-12 21:55:41 
jj1 = 516, max_th = 2.981437e+00, time=2025-01-12 21:55:48 
jj1 = 223, max_th = 2.612503e+00, time=2025-01-12 21:57:19 
jj1 = 401, max_th = 1.976538e+00, time=2025-01-12 21:57:24 
jj1 = 281, max_th = 2.805332e+00, time=2025-01-12 21:58:04 
jj1 = 341, max_th = 1.995276e+00, time=2025-01-12 22:00:42 
jj1 = 462, max_th = 1.965413e+00, time=2025-01-12 22:00:56 
jj1 = 107, max_th = 1.712362e+00, time=2025-01-12 22:01:21 
jj1 = 400, max_th = 2.608242e+00, time=2025-01-12 22:01:56 
jj1 = 340, max_th = 9.962342e-01, time=2025-01-12 22:02:43 
