jj1 = 56, max_th = 2.806314e+00, time=2025-03-10 22:46:00 
jj1 = 55, max_th = 2.973971e+00, time=2025-03-10 22:47:50 
jj1 = 49, max_th = 2.624747e+00, time=2025-03-10 22:49:05 
jj1 = 7, max_th = 1.402104e+00, time=2025-03-10 22:49:07 
jj1 = 42, max_th = 2.442512e+00, time=2025-03-10 22:51:27 
jj1 = 35, max_th = 2.213807e+00, time=2025-03-10 22:54:52 
jj1 = 21, max_th = 2.219149e+00, time=2025-03-10 22:55:16 
jj1 = 14, max_th = 2.222472e+00, time=2025-03-10 22:55:18 
jj1 = 48, max_th = 1.396060e+00, time=2025-03-10 22:55:39 
jj1 = 28, max_th = 1.987695e+00, time=2025-03-10 22:56:02 
jj1 = 13, max_th = 2.993384e+00, time=2025-03-10 22:56:49 
jj1 = 41, max_th = 2.627704e+00, time=2025-03-10 22:57:41 
jj1 = 6, max_th = 2.402982e+00, time=2025-03-10 22:57:44 
jj1 = 54, max_th = 1.717854e+00, time=2025-03-10 22:59:39 
jj1 = 5, max_th = 9.856998e-01, time=2025-03-10 23:00:37 
jj1 = 34, max_th = 2.424594e+00, time=2025-03-10 23:04:31 
jj1 = 20, max_th = 1.703649e+00, time=2025-03-10 23:05:42 
jj1 = 4, max_th = 1.398179e+00, time=2025-03-10 23:06:53 
jj1 = 40, max_th = 2.411786e+00, time=2025-03-10 23:07:08 
jj1 = 47, max_th = 1.994144e+00, time=2025-03-10 23:07:58 
jj1 = 27, max_th = 1.994588e+00, time=2025-03-10 23:08:28 
jj1 = 39, max_th = 9.854005e-01, time=2025-03-10 23:10:02 
jj1 = 12, max_th = 1.986468e+00, time=2025-03-10 23:10:03 
jj1 = 11, max_th = 9.724186e-01, time=2025-03-10 23:12:54 
jj1 = 53, max_th = 1.983967e+00, time=2025-03-10 23:13:08 
jj1 = 26, max_th = 1.379579e+00, time=2025-03-10 23:15:44 
jj1 = 33, max_th = 2.192278e+00, time=2025-03-10 23:16:25 
jj1 = 19, max_th = 2.225064e+00, time=2025-03-10 23:18:22 
jj1 = 38, max_th = 2.434957e+00, time=2025-03-10 23:19:24 
jj1 = 3, max_th = 1.966324e+00, time=2025-03-10 23:20:13 
jj1 = 46, max_th = 1.984803e+00, time=2025-03-10 23:21:26 
jj1 = 10, max_th = 1.720489e+00, time=2025-03-10 23:24:52 
jj1 = 18, max_th = 1.394878e+00, time=2025-03-10 23:25:16 
jj1 = 52, max_th = 1.723135e+00, time=2025-03-10 23:25:19 
jj1 = 2, max_th = 1.404156e+00, time=2025-03-10 23:27:00 
jj1 = 9, max_th = 9.694430e-01, time=2025-03-10 23:27:41 
jj1 = 51, max_th = 2.820356e+00, time=2025-03-10 23:28:41 
jj1 = 25, max_th = 1.988650e+00, time=2025-03-10 23:28:55 
jj1 = 32, max_th = 2.222335e+00, time=2025-03-10 23:28:57 
jj1 = 37, max_th = 1.705323e+00, time=2025-03-10 23:30:06 
jj1 = 45, max_th = 1.956955e+00, time=2025-03-10 23:34:09 
jj1 = 1, max_th = 2.199517e+00, time=2025-03-10 23:36:11 
jj1 = 17, max_th = 1.985144e+00, time=2025-03-10 23:38:41 
jj1 = 8, max_th = 1.721617e+00, time=2025-03-10 23:39:43 
jj1 = 50, max_th = 2.228422e+00, time=2025-03-10 23:41:06 
jj1 = 36, max_th = 2.196737e+00, time=2025-03-10 23:41:08 
jj1 = 31, max_th = 1.983424e+00, time=2025-03-10 23:42:21 
jj1 = 24, max_th = 1.979097e+00, time=2025-03-10 23:42:34 
jj1 = 174, max_th = 2.633567e+00, time=2025-03-10 23:45:42 
jj1 = 44, max_th = 1.991610e+00, time=2025-03-10 23:46:53 
jj1 = 115, max_th = 1.708852e+00, time=2025-03-10 23:47:20 
jj1 = 23, max_th = 1.378237e+00, time=2025-03-10 23:49:55 
jj1 = 43, max_th = 2.807061e+00, time=2025-03-10 23:50:11 
jj1 = 16, max_th = 1.981409e+00, time=2025-03-10 23:52:12 
jj1 = 114, max_th = 2.638005e+00, time=2025-03-10 23:53:01 
jj1 = 410, max_th = 1.721772e+00, time=2025-03-10 23:53:19 
jj1 = 30, max_th = 1.688152e+00, time=2025-03-10 23:53:23 
jj1 = 528, max_th = 1.989290e+00, time=2025-03-10 23:54:11 
jj1 = 173, max_th = 1.721827e+00, time=2025-03-10 23:57:46 
jj1 = 527, max_th = 1.398960e+00, time=2025-03-11 00:00:13 
jj1 = 113, max_th = 1.412515e+00, time=2025-03-11 00:00:27 
jj1 = 112, max_th = -6.035237e-03, time=2025-03-11 00:01:01 
jj1 = 29, max_th = 1.700611e+00, time=2025-03-11 00:02:02 
jj1 = 409, max_th = 2.440245e+00, time=2025-03-11 00:02:09 
jj1 = 469, max_th = 2.214939e+00, time=2025-03-11 00:02:26 
jj1 = 22, max_th = 2.222883e+00, time=2025-03-11 00:02:28 
jj1 = 111, max_th = 9.856308e-01, time=2025-03-11 00:03:52 
jj1 = 15, max_th = 1.725659e+00, time=2025-03-11 00:04:20 
jj1 = 526, max_th = 2.619087e+00, time=2025-03-11 00:06:28 
jj1 = 408, max_th = 2.633112e+00, time=2025-03-11 00:08:12 
jj1 = 172, max_th = 1.720216e+00, time=2025-03-11 00:09:39 
jj1 = 351, max_th = 2.428129e+00, time=2025-03-11 00:11:34 
jj1 = 233, max_th = 1.699562e+00, time=2025-03-11 00:12:48 
jj1 = 350, max_th = 9.709241e-01, time=2025-03-11 00:14:24 
jj1 = 468, max_th = 1.724956e+00, time=2025-03-11 00:14:36 
jj1 = 292, max_th = 2.213678e+00, time=2025-03-11 00:14:44 
jj1 = 171, max_th = 2.632649e+00, time=2025-03-11 00:15:42 
jj1 = 110, max_th = 1.985746e+00, time=2025-03-11 00:17:11 
jj1 = 467, max_th = 9.938672e-01, time=2025-03-11 00:17:23 
jj1 = 525, max_th = 1.715171e+00, time=2025-03-11 00:18:06 
jj1 = 407, max_th = 1.720639e+00, time=2025-03-11 00:20:18 
jj1 = 232, max_th = 1.727708e+00, time=2025-03-11 00:24:54 
jj1 = 170, max_th = 2.206869e+00, time=2025-03-11 00:27:24 
