MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
[Warning: A task was unexpectedly found in state: Unavailable.] 
[> In parallel.cluster.Local/deriveJobStateFromTasks (line 29)
In parallel.cluster/Local/getJobState (line 174)
In parallel.cluster/CJSCluster/hGetJobState (line 375)
In parallel.internal.cluster/CJSJobMixin/hGetStateEnum (line 175)
In parallel/Job/get.StateEnum (line 247)
In parallel/Job/get.State (line 239)
In parallel.internal.customattr.CustomGetSet>iVectorisedGetHelper (line 128)
In parallel.internal.customattr.CustomGetSet>@(a,b,c)iVectorisedGetHelper(obj,a,b,c) (line 102)
In parallel.internal.customattr/CustomGetSet/doVectorisedGet (line 103)
In parallel.internal.customattr/CustomGetSet/hVectorisedGet (line 76)
In parallel.internal.customattr.GetSetImpl>iAccessProperties (line 322)
In parallel.internal.customattr.GetSetImpl>iGetAllPropertiesVec (line 264)
In parallel.internal.customattr/GetSetImpl/getImpl (line 133)
In parallel.internal.customattr.CustomGetSet>iHetFunGetFunction (line 154)
In parallel.internal.customattr.CustomGetSet>@(o)iHetFunGetFunction(o,props) (line 139)
In parallel.internal.cluster.hetfun (line 46)
In parallel.internal.customattr.CustomGetSet>iHetFunGetProperty (line 139)
In parallel.internal.customattr/CustomGetSet/get (line 38)
In parallel.internal.pool/AbstractInteractiveClient/pRemoveOldJobs (line 211)
In parallel.internal.pool/AbstractInteractiveClient/start (line 103)
In parallel.internal.pool.AbstractClusterPool>iStartClient (line 831)
In parallel.internal.pool/AbstractClusterPool/hBuildPool (line 585)
In parallel.internal.pool.doParpool (line 22)
In parpool (line 123)
In parallel.internal.parpool.getOrCreateCurrentPool (line 17)
In parallel.internal.pool/PoolArrayManager/getOrAutoCreateWithCleanup (line 44)
In pctTryCreatePoolIfNecessary (line 28)
In parallel_function (line 423)] 
Connected to the parallel pool (number of workers: 12).
jj1 = 35, max_th = 6.797870e-01, time=2025-04-07 16:24:18 
jj1 = 34, max_th = 6.698031e-01, time=2025-04-07 16:26:28 
jj1 = 15, max_th = 8.119784e-01, time=2025-04-07 16:28:37 
jj1 = 20, max_th = 1.536472e+00, time=2025-04-07 16:29:25 
jj1 = 60, max_th = 1.490318e+00, time=2025-04-07 16:35:31 
jj1 = 30, max_th = 2.203881e+00, time=2025-04-07 16:38:28 
jj1 = 5, max_th = 1.728080e+00, time=2025-04-07 16:42:15 
jj1 = 55, max_th = 1.786577e+00, time=2025-04-07 16:43:58 
jj1 = 10, max_th = 2.157054e+00, time=2025-04-07 16:44:05 
jj1 = 45, max_th = 1.859258e+00, time=2025-04-07 16:44:47 
jj1 = 40, max_th = 2.167882e+00, time=2025-04-07 16:45:03 
jj1 = 14, max_th = 2.394528e+00, time=2025-04-07 16:45:24 
jj1 = 50, max_th = 2.066697e+00, time=2025-04-07 16:48:27 
jj1 = 33, max_th = 2.014792e+00, time=2025-04-07 16:53:55 
jj1 = 29, max_th = 1.427611e+00, time=2025-04-07 16:54:36 
jj1 = 59, max_th = 1.539046e+00, time=2025-04-07 16:54:52 
jj1 = 25, max_th = 1.823343e+00, time=2025-04-07 16:54:55 
jj1 = 9, max_th = 2.663969e+00, time=2025-04-07 16:56:05 
jj1 = 28, max_th = 2.948121e+00, time=2025-04-07 17:00:55 
jj1 = 19, max_th = 1.733733e+00, time=2025-04-07 17:02:04 
jj1 = 54, max_th = 2.157005e+00, time=2025-04-07 17:03:06 
jj1 = 13, max_th = 1.819903e+00, time=2025-04-07 17:04:33 
jj1 = 39, max_th = 1.675488e+00, time=2025-04-07 17:04:52 
jj1 = 8, max_th = 2.362788e+00, time=2025-04-07 17:08:28 
jj1 = 4, max_th = 2.124032e+00, time=2025-04-07 17:08:56 
jj1 = 49, max_th = 2.326652e+00, time=2025-04-07 17:09:56 
jj1 = 58, max_th = 1.486817e+00, time=2025-04-07 17:09:59 
jj1 = 44, max_th = 1.976029e+00, time=2025-04-07 17:11:12 
jj1 = 12, max_th = 1.137894e+00, time=2025-04-07 17:12:16 
jj1 = 18, max_th = 2.573140e+00, time=2025-04-07 17:13:54 
jj1 = 32, max_th = 1.815254e+00, time=2025-04-07 17:16:37 
jj1 = 27, max_th = 1.573287e+00, time=2025-04-07 17:17:31 
