MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 60, max_th = 3.222083e+00, time=2024-09-04 21:31:35 
jj1 = 40, max_th = 3.078036e+00, time=2024-09-04 21:32:56 
jj1 = 10, max_th = 2.682910e+00, time=2024-09-04 21:34:25 
jj1 = 20, max_th = 2.246913e+00, time=2024-09-04 21:34:42 
jj1 = 5, max_th = 1.552241e+00, time=2024-09-04 21:36:05 
jj1 = 25, max_th = 1.555539e+00, time=2024-09-04 21:36:41 
jj1 = 15, max_th = 1.532427e+00, time=2024-09-04 21:37:13 
jj1 = 30, max_th = 2.268158e+00, time=2024-09-04 21:37:18 
jj1 = 24, max_th = 2.911190e+00, time=2024-09-04 21:38:42 
jj1 = 45, max_th = 2.232888e+00, time=2024-09-04 21:38:44 
jj1 = 9, max_th = 1.496935e+00, time=2024-09-04 21:38:57 
jj1 = 35, max_th = 2.155638e+00, time=2024-09-04 21:39:10 
jj1 = 4, max_th = 1.028927e+00, time=2024-09-04 21:39:27 
jj1 = 59, max_th = 1.661873e+00, time=2024-09-04 21:39:42 
jj1 = 50, max_th = 1.983252e+00, time=2024-09-04 21:39:43 
jj1 = 55, max_th = 1.971634e+00, time=2024-09-04 21:39:46 
jj1 = 39, max_th = 2.222976e+00, time=2024-09-04 21:40:13 
jj1 = 34, max_th = 5.884083e-01, time=2024-09-04 21:41:05 
jj1 = 33, max_th = 3.016514e+00, time=2024-09-04 21:42:22 
jj1 = 19, max_th = 1.570054e+00, time=2024-09-04 21:43:34 
jj1 = 38, max_th = 1.159059e+00, time=2024-09-04 21:44:00 
jj1 = 44, max_th = 1.546399e+00, time=2024-09-04 21:44:09 
jj1 = 29, max_th = 1.878287e+00, time=2024-09-04 21:45:55 
jj1 = 8, max_th = 1.819474e+00, time=2024-09-04 21:46:20 
jj1 = 14, max_th = 2.061315e+00, time=2024-09-04 21:47:38 
