MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 55, max_th = 3.110765e+00, time=2024-09-03 10:03:43 
jj1 = 10, max_th = 3.091408e+00, time=2024-09-03 10:03:54 
jj1 = 15, max_th = 3.063268e+00, time=2024-09-03 10:04:12 
jj1 = 25, max_th = 1.349511e+00, time=2024-09-03 10:09:32 
jj1 = 40, max_th = 1.243189e+00, time=2024-09-03 10:12:16 
jj1 = 24, max_th = 2.760818e+00, time=2024-09-03 10:17:03 
jj1 = 54, max_th = 1.695434e+00, time=2024-09-03 10:20:44 
jj1 = 20, max_th = 1.852529e+00, time=2024-09-03 10:22:09 
jj1 = 50, max_th = 1.948745e+00, time=2024-09-03 10:22:33 
jj1 = 35, max_th = 1.680721e+00, time=2024-09-03 10:24:35 
jj1 = 5, max_th = 1.922820e+00, time=2024-09-03 10:25:05 
jj1 = 45, max_th = 1.880769e+00, time=2024-09-03 10:25:24 
jj1 = 30, max_th = 2.168462e+00, time=2024-09-03 10:25:56 
jj1 = 44, max_th = -4.531550e-02, time=2024-09-03 10:26:13 
jj1 = 60, max_th = 2.179605e+00, time=2024-09-03 10:27:02 
jj1 = 9, max_th = 2.157717e+00, time=2024-09-03 10:27:49 
jj1 = 14, max_th = 2.164424e+00, time=2024-09-03 10:28:09 
jj1 = 53, max_th = 1.380710e+00, time=2024-09-03 10:34:05 
jj1 = 13, max_th = 2.771369e+00, time=2024-09-03 10:35:31 
jj1 = 39, max_th = 1.889634e+00, time=2024-09-03 10:36:25 
jj1 = 23, max_th = 1.614244e+00, time=2024-09-03 10:37:12 
jj1 = 8, max_th = 1.354276e+00, time=2024-09-03 10:38:54 
jj1 = 59, max_th = 1.310058e+00, time=2024-09-03 10:39:40 
jj1 = 49, max_th = 1.706296e+00, time=2024-09-03 10:42:40 
jj1 = 29, max_th = 2.374654e+00, time=2024-09-03 10:44:52 
jj1 = 19, max_th = 1.862200e+00, time=2024-09-03 10:46:01 
jj1 = 34, max_th = 2.110454e+00, time=2024-09-03 10:46:32 
jj1 = 4, max_th = 2.193393e+00, time=2024-09-03 10:46:51 
jj1 = 43, max_th = 1.883499e+00, time=2024-09-03 10:50:23 
jj1 = 12, max_th = 1.590850e+00, time=2024-09-03 10:53:06 
jj1 = 22, max_th = 1.560065e+00, time=2024-09-03 10:53:52 
jj1 = 52, max_th = 2.189047e+00, time=2024-09-03 10:56:44 
jj1 = 58, max_th = 1.658423e+00, time=2024-09-03 10:59:29 
jj1 = 38, max_th = 2.160532e+00, time=2024-09-03 10:59:41 
jj1 = 18, max_th = 2.404611e+00, time=2024-09-03 11:01:44 
jj1 = 7, max_th = 2.182087e+00, time=2024-09-03 11:04:19 
jj1 = 33, max_th = 1.897515e+00, time=2024-09-03 11:05:58 
jj1 = 28, max_th = 1.670529e+00, time=2024-09-03 11:07:06 
jj1 = 48, max_th = 2.181615e+00, time=2024-09-03 11:07:16 
jj1 = 42, max_th = 2.295677e+00, time=2024-09-03 11:09:23 
jj1 = 21, max_th = 2.406819e+00, time=2024-09-03 11:11:07 
jj1 = 3, max_th = 1.923999e+00, time=2024-09-03 11:13:01 
jj1 = 37, max_th = 1.334829e+00, time=2024-09-03 11:13:16 
jj1 = 11, max_th = 1.677111e+00, time=2024-09-03 11:14:55 
jj1 = 255, max_th = 2.861185e+00, time=2024-09-03 11:16:39 
jj1 = 27, max_th = 1.287978e+00, time=2024-09-03 11:17:42 
jj1 = 57, max_th = 2.325949e+00, time=2024-09-03 11:19:32 
jj1 = 51, max_th = 2.170401e+00, time=2024-09-03 11:20:52 
jj1 = 41, max_th = 2.582280e+00, time=2024-09-03 11:21:16 
jj1 = 17, max_th = 1.675723e+00, time=2024-09-03 11:21:28 
jj1 = 6, max_th = 1.951460e+00, time=2024-09-03 11:23:47 
jj1 = 32, max_th = 2.375687e+00, time=2024-09-03 11:24:24 
jj1 = 47, max_th = 1.671120e+00, time=2024-09-03 11:26:45 
jj1 = 36, max_th = 1.608816e+00, time=2024-09-03 11:29:43 
jj1 = 26, max_th = 2.510161e+00, time=2024-09-03 11:30:32 
jj1 = 372, max_th = -4.238579e-02, time=2024-09-03 11:30:39 
jj1 = 2, max_th = 1.686154e+00, time=2024-09-03 11:31:06 
