MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 30, max_th = -1.915728e+00, time=2024-09-06 16:13:21 
jj1 = 15, max_th = 1.107204e+00, time=2024-09-06 16:14:25 
jj1 = 35, max_th = 7.422775e-01, time=2024-09-06 16:14:25 
jj1 = 60, max_th = 2.704554e+00, time=2024-09-06 16:17:45 
jj1 = 10, max_th = 1.557618e+00, time=2024-09-06 16:19:46 
jj1 = 5, max_th = 2.095383e+00, time=2024-09-06 16:21:29 
jj1 = 25, max_th = 2.058945e+00, time=2024-09-06 16:23:02 
jj1 = 40, max_th = 1.338939e+00, time=2024-09-06 16:23:39 
jj1 = 29, max_th = 2.104656e+00, time=2024-09-06 16:23:42 
jj1 = 50, max_th = 1.832730e+00, time=2024-09-06 16:26:37 
jj1 = 34, max_th = 2.258471e+00, time=2024-09-06 16:26:58 
jj1 = 24, max_th = 2.448676e+00, time=2024-09-06 16:28:18 
jj1 = 20, max_th = 2.367890e+00, time=2024-09-06 16:28:33 
jj1 = 9, max_th = 1.370004e+00, time=2024-09-06 16:28:34 
jj1 = 55, max_th = 2.036896e+00, time=2024-09-06 16:29:21 
jj1 = 33, max_th = 1.210279e+00, time=2024-09-06 16:29:40 
jj1 = 28, max_th = 1.066250e+00, time=2024-09-06 16:31:04 
jj1 = 4, max_th = 2.031007e+00, time=2024-09-06 16:33:08 
jj1 = 3, max_th = 7.468661e-01, time=2024-09-06 16:33:51 
jj1 = 59, max_th = 1.725372e+00, time=2024-09-06 16:34:20 
jj1 = 14, max_th = 1.695195e+00, time=2024-09-06 16:34:23 
jj1 = 39, max_th = 2.401593e+00, time=2024-09-06 16:34:36 
jj1 = 54, max_th = 1.268834e+00, time=2024-09-06 16:36:19 
jj1 = 23, max_th = 2.493032e+00, time=2024-09-06 16:36:28 
jj1 = 45, max_th = 2.205299e+00, time=2024-09-06 16:36:41 
jj1 = 44, max_th = 3.056481e+00, time=2024-09-06 16:37:22 
jj1 = 32, max_th = 2.522973e+00, time=2024-09-06 16:37:31 
jj1 = 2, max_th = 2.861032e+00, time=2024-09-06 16:37:33 
jj1 = 49, max_th = 2.349587e+00, time=2024-09-06 16:38:16 
jj1 = 19, max_th = 2.261822e+00, time=2024-09-06 16:39:48 
jj1 = 43, max_th = 2.913577e+00, time=2024-09-06 16:41:04 
jj1 = 38, max_th = 1.111826e+00, time=2024-09-06 16:41:31 
jj1 = 31, max_th = 2.531400e+00, time=2024-09-06 16:43:10 
jj1 = 8, max_th = 1.981007e+00, time=2024-09-06 16:43:14 
jj1 = 7, max_th = 2.961968e+00, time=2024-09-06 16:45:08 
jj1 = 27, max_th = 1.610357e+00, time=2024-09-06 16:47:07 
jj1 = 18, max_th = 2.827200e+00, time=2024-09-06 16:48:27 
jj1 = 13, max_th = 2.577566e+00, time=2024-09-06 16:50:17 
jj1 = 333, max_th = 2.609769e+00, time=2024-09-06 16:54:03 
jj1 = 26, max_th = 1.279709e+00, time=2024-09-06 16:55:16 
jj1 = 17, max_th = 2.345736e+00, time=2024-09-06 16:55:17 
jj1 = 42, max_th = 2.240550e+00, time=2024-09-06 16:55:22 
jj1 = 48, max_th = 1.715238e+00, time=2024-09-06 16:55:44 
jj1 = 41, max_th = 7.149915e-01, time=2024-09-06 16:56:13 
jj1 = 53, max_th = 1.931428e+00, time=2024-09-06 16:56:59 
jj1 = 37, max_th = 1.526369e+00, time=2024-09-06 16:58:37 
jj1 = 6, max_th = 2.216549e+00, time=2024-09-06 17:00:05 
jj1 = 16, max_th = 1.418597e+00, time=2024-09-06 17:00:22 
jj1 = 22, max_th = 2.264532e+00, time=2024-09-06 17:00:52 
jj1 = 1, max_th = 2.318754e+00, time=2024-09-06 17:00:57 
jj1 = 58, max_th = 2.334731e+00, time=2024-09-06 17:01:50 
jj1 = 332, max_th = 4.877491e+00, time=2024-09-06 17:03:17 
jj1 = 12, max_th = 2.490939e+00, time=2024-09-06 17:07:49 
jj1 = 36, max_th = 2.328196e+00, time=2024-09-06 17:08:25 
jj1 = 411, max_th = 1.855395e+00, time=2024-09-06 17:09:16 
jj1 = 47, max_th = 1.366122e+00, time=2024-09-06 17:10:12 
jj1 = 99, max_th = 1.878575e+00, time=2024-09-06 17:10:57 
jj1 = 138, max_th = 2.125980e+00, time=2024-09-06 17:12:35 
jj1 = 294, max_th = 1.893440e+00, time=2024-09-06 17:12:43 
jj1 = 372, max_th = 1.410476e+00, time=2024-09-06 17:13:04 
jj1 = 52, max_th = 2.033413e+00, time=2024-09-06 17:13:41 
jj1 = 46, max_th = 2.886316e+00, time=2024-09-06 17:14:04 
jj1 = 216, max_th = 2.023520e+00, time=2024-09-06 17:16:34 
jj1 = 410, max_th = 1.551534e+00, time=2024-09-06 17:16:45 
jj1 = 57, max_th = 1.772479e+00, time=2024-09-06 17:17:08 
jj1 = 21, max_th = 1.604884e+00, time=2024-09-06 17:19:26 
jj1 = 98, max_th = 2.179619e+00, time=2024-09-06 17:20:49 
jj1 = 293, max_th = 1.901352e+00, time=2024-09-06 17:21:18 
jj1 = 371, max_th = 1.840431e+00, time=2024-09-06 17:21:43 
jj1 = 450, max_th = 2.198300e+00, time=2024-09-06 17:22:03 
jj1 = 255, max_th = 3.120380e+00, time=2024-09-06 17:22:54 
jj1 = 56, max_th = 2.417148e+00, time=2024-09-06 17:24:44 
jj1 = 11, max_th = 2.268833e+00, time=2024-09-06 17:25:29 
jj1 = 370, max_th = 2.404108e+00, time=2024-09-06 17:26:32 
jj1 = 409, max_th = 1.528481e+00, time=2024-09-06 17:27:19 
jj1 = 292, max_th = 1.535720e+00, time=2024-09-06 17:29:04 
jj1 = 254, max_th = 2.510578e+00, time=2024-09-06 17:30:09 
jj1 = 449, max_th = 2.163433e+00, time=2024-09-06 17:31:17 
jj1 = 215, max_th = 1.372143e+00, time=2024-09-06 17:31:22 
jj1 = 97, max_th = 2.028220e+00, time=2024-09-06 17:31:51 
jj1 = 369, max_th = 1.508273e+00, time=2024-09-06 17:32:39 
jj1 = 331, max_th = 2.033226e+00, time=2024-09-06 17:32:59 
jj1 = 96, max_th = 1.445051e+00, time=2024-09-06 17:33:22 
jj1 = 408, max_th = 1.512554e+00, time=2024-09-06 17:34:31 
jj1 = 253, max_th = 1.034636e+00, time=2024-09-06 17:35:44 
jj1 = 51, max_th = 1.879517e+00, time=2024-09-06 17:36:46 
jj1 = 177, max_th = 1.928690e+00, time=2024-09-06 17:37:14 
jj1 = 291, max_th = 2.074742e+00, time=2024-09-06 17:38:27 
jj1 = 95, max_th = 1.515160e+00, time=2024-09-06 17:41:18 
jj1 = 407, max_th = 2.253759e+00, time=2024-09-06 17:41:18 
jj1 = 176, max_th = 1.550824e+00, time=2024-09-06 17:42:37 
jj1 = 175, max_th = -8.203219e-04, time=2024-09-06 17:43:14 
jj1 = 290, max_th = 2.619685e+00, time=2024-09-06 17:43:48 
jj1 = 252, max_th = 2.258942e+00, time=2024-09-06 17:43:49 
jj1 = 214, max_th = 2.640993e+00, time=2024-09-06 17:45:00 
jj1 = 137, max_th = 2.637032e+00, time=2024-09-06 17:46:10 
jj1 = 368, max_th = 1.959175e+00, time=2024-09-06 17:46:51 
jj1 = 406, max_th = 2.102123e+00, time=2024-09-06 17:47:37 
jj1 = 528, max_th = 1.655242e+00, time=2024-09-06 17:47:42 
jj1 = 489, max_th = 1.522647e+00, time=2024-09-06 17:48:06 
jj1 = 289, max_th = 2.507096e+00, time=2024-09-06 17:51:27 
jj1 = 330, max_th = 2.178495e+00, time=2024-09-06 17:52:32 
jj1 = 488, max_th = 1.316432e+00, time=2024-09-06 17:53:18 
jj1 = 213, max_th = 1.915094e+00, time=2024-09-06 17:55:45 
jj1 = 136, max_th = 2.522642e+00, time=2024-09-06 17:56:24 
jj1 = 405, max_th = 2.088435e+00, time=2024-09-06 17:57:13 
jj1 = 174, max_th = 2.264802e+00, time=2024-09-06 17:57:45 
jj1 = 135, max_th = 8.734613e-01, time=2024-09-06 17:59:17 
jj1 = 251, max_th = 2.475658e+00, time=2024-09-06 17:59:50 
jj1 = 527, max_th = 1.938504e+00, time=2024-09-06 18:00:21 
jj1 = 288, max_th = 2.347054e+00, time=2024-09-06 18:00:39 
jj1 = 94, max_th = 2.060333e+00, time=2024-09-06 18:01:19 
jj1 = 448, max_th = 2.036299e+00, time=2024-09-06 18:02:33 
jj1 = 404, max_th = 2.006805e+00, time=2024-09-06 18:04:38 
jj1 = 329, max_th = 1.314246e+00, time=2024-09-06 18:05:10 
jj1 = 173, max_th = 1.166042e+00, time=2024-09-06 18:05:17 
jj1 = 367, max_th = 2.241802e+00, time=2024-09-06 18:06:01 
jj1 = 134, max_th = 2.377277e+00, time=2024-09-06 18:06:14 
jj1 = 287, max_th = 1.363391e+00, time=2024-09-06 18:06:19 
jj1 = 447, max_th = 1.001801e+00, time=2024-09-06 18:07:33 
jj1 = 403, max_th = 2.669483e+00, time=2024-09-06 18:10:01 
jj1 = 250, max_th = 2.708070e+00, time=2024-09-06 18:11:18 
jj1 = 526, max_th = 1.830198e+00, time=2024-09-06 18:12:28 
jj1 = 93, max_th = 1.409660e+00, time=2024-09-06 18:13:07 
jj1 = 133, max_th = 1.527974e+00, time=2024-09-06 18:13:48 
jj1 = 286, max_th = 2.182274e+00, time=2024-09-06 18:14:10 
jj1 = 212, max_th = 1.877421e+00, time=2024-09-06 18:14:14 
jj1 = 402, max_th = 2.669048e+00, time=2024-09-06 18:14:46 
jj1 = 487, max_th = 1.862478e+00, time=2024-09-06 18:17:40 
jj1 = 172, max_th = 1.552709e+00, time=2024-09-06 18:21:44 
jj1 = 401, max_th = 2.456046e+00, time=2024-09-06 18:21:46 
jj1 = 525, max_th = 1.837678e+00, time=2024-09-06 18:23:06 
jj1 = 366, max_th = 2.357398e+00, time=2024-09-06 18:23:37 
jj1 = 249, max_th = 2.464122e+00, time=2024-09-06 18:24:02 
jj1 = 328, max_th = 1.812276e+00, time=2024-09-06 18:25:21 
jj1 = 446, max_th = 2.021810e+00, time=2024-09-06 18:27:41 
jj1 = 132, max_th = 1.940391e+00, time=2024-09-06 18:29:34 
jj1 = 486, max_th = 2.656427e+00, time=2024-09-06 18:30:01 
jj1 = 524, max_th = 1.623809e+00, time=2024-09-06 18:30:14 
jj1 = 400, max_th = 1.807599e+00, time=2024-09-06 18:32:00 
jj1 = 285, max_th = 2.139705e+00, time=2024-09-06 18:32:14 
jj1 = 171, max_th = 1.575307e+00, time=2024-09-06 18:35:04 
jj1 = 327, max_th = 2.469253e+00, time=2024-09-06 18:35:25 
jj1 = 365, max_th = 1.515006e+00, time=2024-09-06 18:35:39 
jj1 = 211, max_th = 2.030065e+00, time=2024-09-06 18:37:03 
jj1 = 92, max_th = 2.145146e+00, time=2024-09-06 18:38:45 
jj1 = 399, max_th = 1.324789e+00, time=2024-09-06 18:41:59 
jj1 = 284, max_th = 2.101095e+00, time=2024-09-06 18:42:38 
jj1 = 326, max_th = 2.215362e+00, time=2024-09-06 18:43:10 
jj1 = 283, max_th = 7.732239e-01, time=2024-09-06 18:44:12 
jj1 = 170, max_th = 2.074102e+00, time=2024-09-06 18:44:37 
jj1 = 445, max_th = 2.321142e+00, time=2024-09-06 18:44:46 
jj1 = 364, max_th = 1.450256e+00, time=2024-09-06 18:45:52 
jj1 = 523, max_th = 1.918724e+00, time=2024-09-06 18:45:57 
jj1 = 398, max_th = 1.452021e+00, time=2024-09-06 18:47:11 
jj1 = 325, max_th = 2.491151e+00, time=2024-09-06 18:49:16 
jj1 = 169, max_th = 1.335037e+00, time=2024-09-06 18:51:19 
jj1 = 131, max_th = 1.885388e+00, time=2024-09-06 18:52:22 
jj1 = 397, max_th = 1.531544e+00, time=2024-09-06 18:53:06 
jj1 = 282, max_th = 1.610945e+00, time=2024-09-06 18:53:28 
jj1 = 522, max_th = 2.344464e+00, time=2024-09-06 18:57:59 
jj1 = 210, max_th = 2.040384e+00, time=2024-09-06 18:59:23 
jj1 = 168, max_th = 2.261556e+00, time=2024-09-06 19:01:14 
jj1 = 485, max_th = 2.367526e+00, time=2024-09-06 19:01:38 
jj1 = 91, max_th = 1.589160e+00, time=2024-09-06 19:02:36 
jj1 = 324, max_th = 2.075210e+00, time=2024-09-06 19:03:17 
jj1 = 396, max_th = 1.579785e+00, time=2024-09-06 19:04:09 
jj1 = 444, max_th = 2.024016e+00, time=2024-09-06 19:04:23 
jj1 = 248, max_th = 1.902649e+00, time=2024-09-06 19:04:56 
jj1 = 363, max_th = 1.709179e+00, time=2024-09-06 19:06:54 
jj1 = 130, max_th = 2.391987e+00, time=2024-09-06 19:07:10 
jj1 = 167, max_th = 2.697446e+00, time=2024-09-06 19:07:11 
jj1 = 281, max_th = 2.087990e+00, time=2024-09-06 19:07:31 
jj1 = 247, max_th = 2.776907e+00, time=2024-09-06 19:12:13 
jj1 = 323, max_th = 2.131906e+00, time=2024-09-06 19:13:51 
jj1 = 246, max_th = -1.351476e+00, time=2024-09-06 19:14:45 
jj1 = 280, max_th = 1.544935e+00, time=2024-09-06 19:15:30 
jj1 = 521, max_th = 1.539241e+00, time=2024-09-06 19:16:20 
jj1 = 129, max_th = 2.522765e+00, time=2024-09-06 19:16:37 
jj1 = 279, max_th = 3.166681e+00, time=2024-09-06 19:16:37 
jj1 = 362, max_th = 1.266427e+00, time=2024-09-06 19:17:04 
jj1 = 443, max_th = 1.713400e+00, time=2024-09-06 19:17:34 
jj1 = 395, max_th = 1.859225e+00, time=2024-09-06 19:17:43 
jj1 = 90, max_th = 1.505727e+00, time=2024-09-06 19:19:18 
jj1 = 166, max_th = 2.117370e+00, time=2024-09-06 19:19:19 
jj1 = 322, max_th = 1.305626e+00, time=2024-09-06 19:20:24 
jj1 = 165, max_th = 1.228928e+00, time=2024-09-06 19:23:12 
jj1 = 278, max_th = 1.477220e+00, time=2024-09-06 19:23:21 
jj1 = 128, max_th = 2.689323e+00, time=2024-09-06 19:25:39 
jj1 = 361, max_th = 2.566547e+00, time=2024-09-06 19:26:22 
jj1 = 520, max_th = 1.425395e+00, time=2024-09-06 19:26:57 
jj1 = 442, max_th = 2.025393e+00, time=2024-09-06 19:29:30 
jj1 = 89, max_th = 1.293247e+00, time=2024-09-06 19:29:44 
jj1 = 394, max_th = 2.377342e+00, time=2024-09-06 19:30:19 
jj1 = 321, max_th = 1.938877e+00, time=2024-09-06 19:30:29 
