MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 15, max_th = 9.353279e-01, time=2024-09-08 10:54:38 
jj1 = 35, max_th = 2.749557e+00, time=2024-09-08 10:54:54 
jj1 = 25, max_th = 2.499842e+00, time=2024-09-08 10:56:41 
jj1 = 40, max_th = 2.586439e+00, time=2024-09-08 10:57:26 
jj1 = 10, max_th = 2.554160e+00, time=2024-09-08 10:57:32 
jj1 = 30, max_th = 1.372135e+00, time=2024-09-08 10:57:36 
jj1 = 39, max_th = -4.078925e-02, time=2024-09-08 10:57:51 
jj1 = 60, max_th = 2.408015e+00, time=2024-09-08 10:59:04 
jj1 = 34, max_th = 2.350102e+00, time=2024-09-08 10:59:24 
jj1 = 5, max_th = 2.376053e+00, time=2024-09-08 10:59:57 
jj1 = 20, max_th = 1.703941e+00, time=2024-09-08 10:59:57 
jj1 = 50, max_th = 2.332239e+00, time=2024-09-08 11:00:08 
jj1 = 55, max_th = 1.668938e+00, time=2024-09-08 11:00:14 
jj1 = 49, max_th = 3.034172e+00, time=2024-09-08 11:01:02 
jj1 = 29, max_th = 2.672863e+00, time=2024-09-08 11:01:13 
jj1 = 14, max_th = 2.198156e+00, time=2024-09-08 11:01:32 
jj1 = 38, max_th = 2.638139e+00, time=2024-09-08 11:01:44 
jj1 = 45, max_th = 2.169211e+00, time=2024-09-08 11:01:44 
jj1 = 54, max_th = 9.452232e-01, time=2024-09-08 11:01:48 
jj1 = 59, max_th = 1.330750e+00, time=2024-09-08 11:03:25 
jj1 = 9, max_th = 2.251905e+00, time=2024-09-08 11:04:14 
jj1 = 53, max_th = 2.779306e+00, time=2024-09-08 11:04:22 
jj1 = 28, max_th = 1.295353e+00, time=2024-09-08 11:04:30 
jj1 = 58, max_th = 9.772691e-01, time=2024-09-08 11:05:18 
jj1 = 24, max_th = 2.167564e+00, time=2024-09-08 11:05:20 
jj1 = 23, max_th = 9.508130e-01, time=2024-09-08 11:06:43 
jj1 = 13, max_th = 2.512362e+00, time=2024-09-08 11:06:57 
jj1 = 44, max_th = 1.700391e+00, time=2024-09-08 11:07:19 
jj1 = 4, max_th = 1.673933e+00, time=2024-09-08 11:07:40 
jj1 = 19, max_th = 1.943598e+00, time=2024-09-08 11:08:08 
jj1 = 33, max_th = 2.126038e+00, time=2024-09-08 11:08:13 
jj1 = 37, max_th = 2.367941e+00, time=2024-09-08 11:09:35 
jj1 = 48, max_th = 2.172364e+00, time=2024-09-08 11:10:05 
jj1 = 8, max_th = 2.389546e+00, time=2024-09-08 11:10:57 
jj1 = 57, max_th = 2.351851e+00, time=2024-09-08 11:11:15 
jj1 = 47, max_th = 2.897091e+00, time=2024-09-08 11:11:32 
jj1 = 18, max_th = 2.686592e+00, time=2024-09-08 11:11:37 
jj1 = 3, max_th = 1.318969e+00, time=2024-09-08 11:12:16 
jj1 = 12, max_th = 2.404193e+00, time=2024-09-08 11:12:50 
jj1 = 52, max_th = 1.959016e+00, time=2024-09-08 11:13:00 
jj1 = 27, max_th = 2.135960e+00, time=2024-09-08 11:13:05 
jj1 = 2, max_th = 8.911325e-01, time=2024-09-08 11:13:37 
jj1 = 32, max_th = 2.362834e+00, time=2024-09-08 11:15:07 
jj1 = 22, max_th = 1.962248e+00, time=2024-09-08 11:15:26 
jj1 = 43, max_th = 1.881630e+00, time=2024-09-08 11:16:22 
jj1 = 11, max_th = 1.398171e+00, time=2024-09-08 11:16:54 
jj1 = 36, max_th = 2.377268e+00, time=2024-09-08 11:17:23 
jj1 = 46, max_th = 2.149542e+00, time=2024-09-08 11:18:06 
jj1 = 177, max_th = 9.685387e-01, time=2024-09-08 11:18:44 
jj1 = 450, max_th = 8.705148e-01, time=2024-09-08 11:19:35 
jj1 = 7, max_th = 1.959311e+00, time=2024-09-08 11:19:38 
jj1 = 17, max_th = 1.842681e+00, time=2024-09-08 11:19:48 
jj1 = 56, max_th = 2.139838e+00, time=2024-09-08 11:19:51 
jj1 = 449, max_th = 2.888597e+00, time=2024-09-08 11:21:22 
jj1 = 1, max_th = 1.676926e+00, time=2024-09-08 11:21:26 
jj1 = 51, max_th = 2.114373e+00, time=2024-09-08 11:21:41 
jj1 = 42, max_th = 1.552419e+00, time=2024-09-08 11:21:52 
jj1 = 26, max_th = 1.933716e+00, time=2024-09-08 11:22:00 
jj1 = 21, max_th = 1.682664e+00, time=2024-09-08 11:23:09 
jj1 = 31, max_th = 1.912587e+00, time=2024-09-08 11:23:42 
jj1 = 6, max_th = 1.338017e+00, time=2024-09-08 11:23:53 
jj1 = 176, max_th = 1.544784e+00, time=2024-09-08 11:24:56 
jj1 = 448, max_th = 2.597990e+00, time=2024-09-08 11:25:08 
jj1 = 99, max_th = 1.328721e+00, time=2024-09-08 11:26:01 
jj1 = 528, max_th = 1.705213e+00, time=2024-09-08 11:26:55 
jj1 = 41, max_th = 2.149888e+00, time=2024-09-08 11:27:30 
jj1 = 16, max_th = 1.739757e+00, time=2024-09-08 11:27:40 
jj1 = 333, max_th = 1.228215e+00, time=2024-09-08 11:27:44 
jj1 = 372, max_th = 1.974624e+00, time=2024-09-08 11:27:48 
jj1 = 255, max_th = 2.350775e+00, time=2024-09-08 11:28:26 
jj1 = 489, max_th = 1.897469e+00, time=2024-09-08 11:29:24 
jj1 = 254, max_th = 8.638387e-01, time=2024-09-08 11:29:52 
jj1 = 294, max_th = 1.964353e+00, time=2024-09-08 11:30:47 
jj1 = 138, max_th = 2.238383e+00, time=2024-09-08 11:31:18 
jj1 = 447, max_th = 1.663065e+00, time=2024-09-08 11:32:43 
jj1 = 216, max_th = 2.507006e+00, time=2024-09-08 11:32:49 
jj1 = 332, max_th = 2.347185e+00, time=2024-09-08 11:33:55 
jj1 = 175, max_th = 1.969484e+00, time=2024-09-08 11:34:10 
jj1 = 371, max_th = 1.585626e+00, time=2024-09-08 11:34:49 
jj1 = 98, max_th = 1.938841e+00, time=2024-09-08 11:34:56 
jj1 = 527, max_th = 2.105251e+00, time=2024-09-08 11:35:01 
jj1 = 411, max_th = 2.318541e+00, time=2024-09-08 11:35:13 
jj1 = 370, max_th = 8.451314e-01, time=2024-09-08 11:36:11 
jj1 = 488, max_th = 1.810089e+00, time=2024-09-08 11:37:37 
jj1 = 293, max_th = 1.612666e+00, time=2024-09-08 11:37:46 
jj1 = 410, max_th = 2.755151e+00, time=2024-09-08 11:37:46 
jj1 = 253, max_th = 2.029245e+00, time=2024-09-08 11:39:01 
jj1 = 331, max_th = 1.651300e+00, time=2024-09-08 11:39:46 
jj1 = 137, max_th = 2.271404e+00, time=2024-09-08 11:39:59 
jj1 = 446, max_th = 1.638374e+00, time=2024-09-08 11:40:06 
jj1 = 215, max_th = 1.945304e+00, time=2024-09-08 11:41:03 
jj1 = 174, max_th = 1.671550e+00, time=2024-09-08 11:41:53 
jj1 = 526, max_th = 1.942144e+00, time=2024-09-08 11:43:30 
jj1 = 97, max_th = 1.941865e+00, time=2024-09-08 11:43:35 
jj1 = 487, max_th = 1.562335e+00, time=2024-09-08 11:44:06 
jj1 = 445, max_th = 1.354422e+00, time=2024-09-08 11:44:08 
jj1 = 136, max_th = 2.559531e+00, time=2024-09-08 11:44:32 
jj1 = 369, max_th = 2.096133e+00, time=2024-09-08 11:44:51 
jj1 = 252, max_th = 2.409583e+00, time=2024-09-08 11:45:13 
jj1 = 330, max_th = 1.653455e+00, time=2024-09-08 11:46:24 
jj1 = 292, max_th = 1.917676e+00, time=2024-09-08 11:46:37 
jj1 = 409, max_th = 2.135764e+00, time=2024-09-08 11:46:39 
jj1 = 291, max_th = 9.072704e-01, time=2024-09-08 11:48:05 
jj1 = 173, max_th = 1.566762e+00, time=2024-09-08 11:49:03 
jj1 = 214, max_th = 2.090338e+00, time=2024-09-08 11:49:35 
jj1 = 525, max_th = 1.593795e+00, time=2024-09-08 11:49:54 
jj1 = 329, max_th = 1.331907e+00, time=2024-09-08 11:50:36 
jj1 = 96, max_th = 2.152312e+00, time=2024-09-08 11:51:02 
jj1 = 290, max_th = 1.159877e+00, time=2024-09-08 11:51:03 
jj1 = 408, max_th = 1.342567e+00, time=2024-09-08 11:51:03 
jj1 = 486, max_th = 1.661157e+00, time=2024-09-08 11:51:26 
jj1 = 328, max_th = 2.940445e+00, time=2024-09-08 11:51:56 
jj1 = 135, max_th = 1.688841e+00, time=2024-09-08 11:52:02 
jj1 = 444, max_th = 1.726410e+00, time=2024-09-08 11:52:24 
jj1 = 407, max_th = 9.411510e-01, time=2024-09-08 11:52:34 
jj1 = 368, max_th = 1.659107e+00, time=2024-09-08 11:52:44 
jj1 = 289, max_th = 2.746874e+00, time=2024-09-08 11:53:35 
jj1 = 213, max_th = 2.497443e+00, time=2024-09-08 11:54:15 
