MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 45, max_th = -3.825561e-04, time=2024-09-08 10:55:38 
jj1 = 44, max_th = 1.328596e+00, time=2024-09-08 10:59:46 
jj1 = 25, max_th = 2.583051e+00, time=2024-09-08 10:59:49 
jj1 = 5, max_th = 2.564013e+00, time=2024-09-08 11:00:01 
jj1 = 40, max_th = 1.487437e+00, time=2024-09-08 11:00:08 
jj1 = 30, max_th = 1.652412e+00, time=2024-09-08 11:01:34 
jj1 = 15, max_th = 2.419836e+00, time=2024-09-08 11:01:47 
jj1 = 10, max_th = 1.710242e+00, time=2024-09-08 11:02:50 
jj1 = 9, max_th = 3.271530e+00, time=2024-09-08 11:03:06 
jj1 = 55, max_th = 1.902442e+00, time=2024-09-08 11:03:07 
jj1 = 50, max_th = 1.944856e+00, time=2024-09-08 11:03:26 
jj1 = 60, max_th = 1.956731e+00, time=2024-09-08 11:03:42 
jj1 = 39, max_th = 2.549513e+00, time=2024-09-08 11:03:53 
jj1 = 20, max_th = 1.818526e+00, time=2024-09-08 11:03:59 
jj1 = 35, max_th = 1.931013e+00, time=2024-09-08 11:04:34 
jj1 = 43, max_th = 1.850250e+00, time=2024-09-08 11:05:54 
jj1 = 54, max_th = 1.188021e+00, time=2024-09-08 11:06:19 
jj1 = 24, max_th = 1.630943e+00, time=2024-09-08 11:06:56 
jj1 = 4, max_th = 2.315909e+00, time=2024-09-08 11:07:21 
jj1 = 29, max_th = 2.347117e+00, time=2024-09-08 11:07:47 
jj1 = 59, max_th = 1.329878e+00, time=2024-09-08 11:08:13 
jj1 = 28, max_th = 7.514004e-01, time=2024-09-08 11:08:29 
jj1 = 34, max_th = 1.282432e+00, time=2024-09-08 11:08:48 
jj1 = 49, max_th = 1.696388e+00, time=2024-09-08 11:10:13 
jj1 = 14, max_th = 2.113835e+00, time=2024-09-08 11:10:18 
jj1 = 19, max_th = 2.428726e+00, time=2024-09-08 11:10:23 
jj1 = 8, max_th = 1.633056e+00, time=2024-09-08 11:10:25 
jj1 = 42, max_th = 1.379436e+00, time=2024-09-08 11:10:42 
jj1 = 3, max_th = 1.380480e+00, time=2024-09-08 11:12:07 
jj1 = 38, max_th = 1.856334e+00, time=2024-09-08 11:12:14 
jj1 = 53, max_th = 2.208389e+00, time=2024-09-08 11:14:14 
jj1 = 48, max_th = 1.357733e+00, time=2024-09-08 11:14:22 
jj1 = 23, max_th = 1.681585e+00, time=2024-09-08 11:14:35 
jj1 = 27, max_th = 2.339384e+00, time=2024-09-08 11:15:23 
jj1 = 41, max_th = 2.541065e+00, time=2024-09-08 11:15:32 
jj1 = 58, max_th = 1.674103e+00, time=2024-09-08 11:16:02 
jj1 = 18, max_th = 2.396118e+00, time=2024-09-08 11:16:20 
jj1 = 7, max_th = 2.477230e+00, time=2024-09-08 11:16:23 
jj1 = 33, max_th = 1.892041e+00, time=2024-09-08 11:17:01 
jj1 = 57, max_th = 8.707560e-01, time=2024-09-08 11:17:20 
jj1 = 26, max_th = 2.721047e+00, time=2024-09-08 11:18:28 
jj1 = 2, max_th = 1.638496e+00, time=2024-09-08 11:19:08 
jj1 = 13, max_th = 2.085897e+00, time=2024-09-08 11:19:10 
jj1 = 37, max_th = 2.156466e+00, time=2024-09-08 11:20:19 
jj1 = 52, max_th = 1.644034e+00, time=2024-09-08 11:20:50 
jj1 = 22, max_th = 1.698029e+00, time=2024-09-08 11:21:08 
jj1 = 47, max_th = 2.153290e+00, time=2024-09-08 11:22:01 
jj1 = 411, max_th = 1.642874e+00, time=2024-09-08 11:22:12 
jj1 = 294, max_th = 1.366969e+00, time=2024-09-08 11:23:11 
jj1 = 17, max_th = 2.362623e+00, time=2024-09-08 11:23:21 
jj1 = 32, max_th = 1.645269e+00, time=2024-09-08 11:23:41 
jj1 = 56, max_th = 2.374950e+00, time=2024-09-08 11:24:19 
jj1 = 16, max_th = 9.547968e-01, time=2024-09-08 11:24:56 
jj1 = 51, max_th = 2.589552e+00, time=2024-09-08 11:25:17 
jj1 = 6, max_th = 1.912479e+00, time=2024-09-08 11:25:20 
jj1 = 1, max_th = 2.287950e+00, time=2024-09-08 11:26:31 
jj1 = 12, max_th = 2.151918e+00, time=2024-09-08 11:26:46 
jj1 = 11, max_th = 9.446262e-01, time=2024-09-08 11:28:22 
jj1 = 528, max_th = 2.615571e+00, time=2024-09-08 11:28:26 
jj1 = 489, max_th = 1.350911e+00, time=2024-09-08 11:28:43 
jj1 = 36, max_th = 1.941619e+00, time=2024-09-08 11:28:48 
jj1 = 410, max_th = 1.658481e+00, time=2024-09-08 11:29:09 
jj1 = 177, max_th = 7.372535e-01, time=2024-09-08 11:29:21 
jj1 = 21, max_th = 2.139306e+00, time=2024-09-08 11:29:42 
jj1 = 216, max_th = 2.568125e+00, time=2024-09-08 11:29:53 
jj1 = 46, max_th = 1.887930e+00, time=2024-09-08 11:30:52 
jj1 = 293, max_th = 2.215113e+00, time=2024-09-08 11:31:17 
jj1 = 31, max_th = 1.672958e+00, time=2024-09-08 11:31:25 
jj1 = 99, max_th = 1.648189e+00, time=2024-09-08 11:32:30 
jj1 = 409, max_th = 1.354529e+00, time=2024-09-08 11:33:12 
jj1 = 333, max_th = 2.847150e+00, time=2024-09-08 11:33:16 
jj1 = 138, max_th = 2.042304e+00, time=2024-09-08 11:34:07 
jj1 = 527, max_th = 1.642054e+00, time=2024-09-08 11:34:54 
jj1 = 98, max_th = 2.689869e+00, time=2024-09-08 11:35:40 
jj1 = 255, max_th = 2.347777e+00, time=2024-09-08 11:35:54 
jj1 = 372, max_th = 1.629225e+00, time=2024-09-08 11:36:07 
jj1 = 488, max_th = 1.840689e+00, time=2024-09-08 11:37:14 
jj1 = 215, max_th = 2.328829e+00, time=2024-09-08 11:37:28 
jj1 = 332, max_th = 1.356980e+00, time=2024-09-08 11:37:30 
jj1 = 176, max_th = 2.130289e+00, time=2024-09-08 11:38:05 
jj1 = 292, max_th = 2.311760e+00, time=2024-09-08 11:38:29 
jj1 = 450, max_th = 1.838025e+00, time=2024-09-08 11:38:52 
jj1 = 408, max_th = 1.663002e+00, time=2024-09-08 11:40:10 
jj1 = 526, max_th = 2.297918e+00, time=2024-09-08 11:41:14 
jj1 = 97, max_th = 2.396560e+00, time=2024-09-08 11:41:33 
jj1 = 254, max_th = 2.149527e+00, time=2024-09-08 11:42:10 
jj1 = 525, max_th = 8.782242e-01, time=2024-09-08 11:42:39 
jj1 = 137, max_th = 1.919854e+00, time=2024-09-08 11:43:04 
jj1 = 449, max_th = 2.556789e+00, time=2024-09-08 11:43:22 
jj1 = 214, max_th = 1.606882e+00, time=2024-09-08 11:44:01 
jj1 = 371, max_th = 1.822485e+00, time=2024-09-08 11:44:32 
