MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 55, max_th = -1.993279e-01, time=2024-09-08 10:55:18 
jj1 = 25, max_th = 3.249220e+00, time=2024-09-08 10:56:21 
jj1 = 40, max_th = 2.843958e+00, time=2024-09-08 10:57:11 
jj1 = 15, max_th = 2.654454e+00, time=2024-09-08 10:57:12 
jj1 = 10, max_th = 2.596791e+00, time=2024-09-08 10:58:23 
jj1 = 50, max_th = 1.280852e+00, time=2024-09-08 11:00:17 
jj1 = 20, max_th = 1.701781e+00, time=2024-09-08 11:00:27 
jj1 = 24, max_th = 1.127323e+00, time=2024-09-08 11:01:05 
jj1 = 9, max_th = 2.827703e+00, time=2024-09-08 11:01:21 
jj1 = 23, max_th = 9.526171e-01, time=2024-09-08 11:02:10 
jj1 = 45, max_th = 1.899794e+00, time=2024-09-08 11:02:53 
jj1 = 5, max_th = 2.034607e+00, time=2024-09-08 11:04:43 
jj1 = 30, max_th = 2.035319e+00, time=2024-09-08 11:05:47 
jj1 = 54, max_th = 2.289493e+00, time=2024-09-08 11:05:52 
jj1 = 60, max_th = 1.926427e+00, time=2024-09-08 11:06:13 
jj1 = 14, max_th = 1.918479e+00, time=2024-09-08 11:06:27 
jj1 = 29, max_th = 9.127530e-01, time=2024-09-08 11:06:40 
jj1 = 39, max_th = 1.514081e+00, time=2024-09-08 11:07:17 
jj1 = 8, max_th = 1.463134e+00, time=2024-09-08 11:08:44 
jj1 = 49, max_th = 2.044452e+00, time=2024-09-08 11:08:55 
jj1 = 53, max_th = 2.652624e+00, time=2024-09-08 11:09:31 
jj1 = 52, max_th = 4.437018e+00, time=2024-09-08 11:09:36 
jj1 = 7, max_th = 2.951732e+00, time=2024-09-08 11:09:49 
jj1 = 19, max_th = 1.957424e+00, time=2024-09-08 11:10:38 
jj1 = 22, max_th = 2.134936e+00, time=2024-09-08 11:10:53 
jj1 = 48, max_th = 9.677864e-01, time=2024-09-08 11:10:56 
jj1 = 44, max_th = 2.113880e+00, time=2024-09-08 11:11:29 
jj1 = 35, max_th = 2.127236e+00, time=2024-09-08 11:13:03 
jj1 = 18, max_th = 9.389798e-01, time=2024-09-08 11:13:36 
jj1 = 21, max_th = 1.182559e+00, time=2024-09-08 11:13:43 
jj1 = 47, max_th = 1.304460e+00, time=2024-09-08 11:14:33 
jj1 = 28, max_th = 2.146344e+00, time=2024-09-08 11:14:46 
jj1 = 51, max_th = 2.251381e+00, time=2024-09-08 11:15:38 
jj1 = 13, max_th = 2.539895e+00, time=2024-09-08 11:15:46 
jj1 = 38, max_th = 2.112091e+00, time=2024-09-08 11:16:56 
jj1 = 489, max_th = 4.443016e-01, time=2024-09-08 11:17:04 
jj1 = 34, max_th = 1.388259e+00, time=2024-09-08 11:17:26 
jj1 = 4, max_th = 1.910488e+00, time=2024-09-08 11:17:27 
jj1 = 255, max_th = 1.420156e+00, time=2024-09-08 11:18:21 
jj1 = 43, max_th = 2.439511e+00, time=2024-09-08 11:20:00 
jj1 = 59, max_th = 1.827046e+00, time=2024-09-08 11:20:50 
jj1 = 37, max_th = 2.676509e+00, time=2024-09-08 11:21:32 
jj1 = 6, max_th = 2.314164e+00, time=2024-09-08 11:22:29 
jj1 = 17, max_th = 2.166866e+00, time=2024-09-08 11:22:50 
jj1 = 488, max_th = 2.984767e+00, time=2024-09-08 11:22:56 
jj1 = 58, max_th = 1.315715e+00, time=2024-09-08 11:23:11 
jj1 = 27, max_th = 2.054776e+00, time=2024-09-08 11:23:24 
jj1 = 46, max_th = 1.739179e+00, time=2024-09-08 11:24:00 
jj1 = 12, max_th = 2.175758e+00, time=2024-09-08 11:25:00 
jj1 = 254, max_th = 2.193106e+00, time=2024-09-08 11:26:59 
jj1 = 42, max_th = 1.558888e+00, time=2024-09-08 11:27:02 
jj1 = 33, max_th = 2.511866e+00, time=2024-09-08 11:27:03 
jj1 = 3, max_th = 1.802602e+00, time=2024-09-08 11:28:00 
jj1 = 26, max_th = 1.423086e+00, time=2024-09-08 11:30:06 
jj1 = 36, max_th = 1.680911e+00, time=2024-09-08 11:30:07 
jj1 = 487, max_th = 2.115236e+00, time=2024-09-08 11:31:10 
jj1 = 450, max_th = 1.848977e+00, time=2024-09-08 11:31:31 
jj1 = 57, max_th = 1.676549e+00, time=2024-09-08 11:31:45 
jj1 = 2, max_th = 2.722029e+00, time=2024-09-08 11:32:33 
jj1 = 138, max_th = 2.029536e+00, time=2024-09-08 11:32:50 
jj1 = 11, max_th = 1.761379e+00, time=2024-09-08 11:33:40 
jj1 = 16, max_th = 2.171074e+00, time=2024-09-08 11:34:40 
jj1 = 32, max_th = 2.089348e+00, time=2024-09-08 11:34:42 
jj1 = 1, max_th = 1.199049e+00, time=2024-09-08 11:35:03 
jj1 = 449, max_th = 2.592248e+00, time=2024-09-08 11:35:04 
jj1 = 41, max_th = 1.598194e+00, time=2024-09-08 11:35:55 
jj1 = 56, max_th = 1.803822e+00, time=2024-09-08 11:36:45 
jj1 = 253, max_th = 2.067408e+00, time=2024-09-08 11:37:13 
jj1 = 294, max_th = 2.205731e+00, time=2024-09-08 11:37:49 
jj1 = 177, max_th = 2.545121e+00, time=2024-09-08 11:39:17 
jj1 = 137, max_th = 1.744157e+00, time=2024-09-08 11:40:03 
jj1 = 486, max_th = 1.944631e+00, time=2024-09-08 11:40:09 
jj1 = 448, max_th = 1.697566e+00, time=2024-09-08 11:40:48 
jj1 = 372, max_th = 1.885505e+00, time=2024-09-08 11:41:02 
jj1 = 31, max_th = 1.708081e+00, time=2024-09-08 11:42:15 
jj1 = 99, max_th = 1.770093e+00, time=2024-09-08 11:42:32 
jj1 = 216, max_th = 2.006706e+00, time=2024-09-08 11:42:41 
jj1 = 411, max_th = 2.643740e+00, time=2024-09-08 11:43:50 
jj1 = 252, max_th = 2.451420e+00, time=2024-09-08 11:43:54 
jj1 = 176, max_th = 1.486987e+00, time=2024-09-08 11:45:36 
jj1 = 293, max_th = 1.918210e+00, time=2024-09-08 11:45:47 
jj1 = 528, max_th = 2.396000e+00, time=2024-09-08 11:46:06 
jj1 = 98, max_th = 2.942340e+00, time=2024-09-08 11:47:06 
jj1 = 447, max_th = 1.525141e+00, time=2024-09-08 11:47:37 
