MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 30, max_th = 7.272430e-01, time=2024-09-06 16:12:27 
jj1 = 50, max_th = 1.349526e+00, time=2024-09-06 16:13:59 
jj1 = 45, max_th = 2.375547e+00, time=2024-09-06 16:18:24 
jj1 = 20, max_th = 2.176230e+00, time=2024-09-06 16:19:07 
jj1 = 5, max_th = 1.636684e+00, time=2024-09-06 16:19:13 
jj1 = 40, max_th = 2.596049e+00, time=2024-09-06 16:20:22 
jj1 = 15, max_th = 2.048609e+00, time=2024-09-06 16:20:34 
jj1 = 44, max_th = 3.065624e+00, time=2024-09-06 16:20:53 
jj1 = 49, max_th = 2.404309e+00, time=2024-09-06 16:20:55 
jj1 = 55, max_th = 2.142747e+00, time=2024-09-06 16:22:07 
jj1 = 29, max_th = 1.656327e+00, time=2024-09-06 16:23:20 
jj1 = 60, max_th = 1.815532e+00, time=2024-09-06 16:24:21 
jj1 = 25, max_th = 2.372962e+00, time=2024-09-06 16:25:00 
jj1 = 19, max_th = 1.209471e+00, time=2024-09-06 16:25:18 
jj1 = 28, max_th = 1.192892e+00, time=2024-09-06 16:26:08 
jj1 = 24, max_th = 1.158378e+00, time=2024-09-06 16:26:12 
jj1 = 18, max_th = -3.046749e-01, time=2024-09-06 16:26:23 
jj1 = 10, max_th = 1.649306e+00, time=2024-09-06 16:26:48 
jj1 = 4, max_th = 2.467363e+00, time=2024-09-06 16:27:03 
jj1 = 59, max_th = 1.394795e+00, time=2024-09-06 16:28:55 
jj1 = 39, max_th = 1.573698e+00, time=2024-09-06 16:30:29 
jj1 = 14, max_th = 1.964089e+00, time=2024-09-06 16:31:02 
jj1 = 43, max_th = 2.192129e+00, time=2024-09-06 16:32:56 
jj1 = 23, max_th = 1.856375e+00, time=2024-09-06 16:33:53 
jj1 = 54, max_th = 2.125002e+00, time=2024-09-06 16:34:15 
jj1 = 48, max_th = 2.056765e+00, time=2024-09-06 16:34:31 
jj1 = 3, max_th = 1.572717e+00, time=2024-09-06 16:36:01 
jj1 = 2, max_th = 2.915798e+00, time=2024-09-06 16:38:21 
jj1 = 9, max_th = 1.897745e+00, time=2024-09-06 16:38:57 
jj1 = 42, max_th = 2.869161e+00, time=2024-09-06 16:39:11 
jj1 = 53, max_th = 2.706721e+00, time=2024-09-06 16:39:36 
jj1 = 58, max_th = 1.767026e+00, time=2024-09-06 16:40:03 
jj1 = 13, max_th = 2.781115e+00, time=2024-09-06 16:41:50 
jj1 = 41, max_th = 3.943846e+00, time=2024-09-06 16:42:08 
jj1 = 57, max_th = 3.069455e+00, time=2024-09-06 16:42:22 
jj1 = 38, max_th = 1.982218e+00, time=2024-09-06 16:42:36 
jj1 = 47, max_th = 2.588128e+00, time=2024-09-06 16:43:23 
jj1 = 52, max_th = 3.173004e+00, time=2024-09-06 16:43:24 
jj1 = 8, max_th = 6.078905e-01, time=2024-09-06 16:44:05 
jj1 = 7, max_th = 3.617661e+00, time=2024-09-06 16:45:15 
jj1 = 1, max_th = 2.063725e+00, time=2024-09-06 16:46:13 
jj1 = 17, max_th = 1.576327e+00, time=2024-09-06 16:47:02 
jj1 = 56, max_th = 1.246243e+00, time=2024-09-06 16:47:24 
jj1 = 22, max_th = 2.091916e+00, time=2024-09-06 16:47:25 
jj1 = 51, max_th = 1.655286e+00, time=2024-09-06 16:49:35 
jj1 = 27, max_th = 1.392785e+00, time=2024-09-06 16:51:03 
jj1 = 37, max_th = 1.817909e+00, time=2024-09-06 16:51:04 
jj1 = 35, max_th = 1.893242e+00, time=2024-09-06 16:53:02 
jj1 = 16, max_th = 1.086105e+00, time=2024-09-06 16:53:58 
jj1 = 99, max_th = 1.920831e+00, time=2024-09-06 16:54:01 
jj1 = 489, max_th = 2.641722e+00, time=2024-09-06 16:55:10 
jj1 = 98, max_th = 2.942710e+00, time=2024-09-06 16:56:04 
jj1 = 488, max_th = 2.665030e+00, time=2024-09-06 16:57:21 
jj1 = 411, max_th = 2.145246e+00, time=2024-09-06 16:57:55 
jj1 = 97, max_th = 3.214552e+00, time=2024-09-06 16:58:09 
jj1 = 12, max_th = 1.653979e+00, time=2024-09-06 16:58:32 
jj1 = 46, max_th = 2.374042e+00, time=2024-09-06 16:58:38 
jj1 = 26, max_th = 3.656847e-01, time=2024-09-06 16:58:51 
jj1 = 36, max_th = 1.631439e+00, time=2024-09-06 16:59:52 
jj1 = 528, max_th = 2.400500e+00, time=2024-09-06 17:00:41 
jj1 = 410, max_th = 2.724785e+00, time=2024-09-06 17:01:22 
jj1 = 21, max_th = 2.287076e+00, time=2024-09-06 17:01:47 
jj1 = 409, max_th = 2.921390e+00, time=2024-09-06 17:04:19 
jj1 = 216, max_th = 2.434420e+00, time=2024-09-06 17:05:21 
jj1 = 294, max_th = 1.170011e+00, time=2024-09-06 17:07:04 
jj1 = 6, max_th = 2.027098e+00, time=2024-09-06 17:07:32 
jj1 = 96, max_th = 2.449675e+00, time=2024-09-06 17:07:39 
jj1 = 11, max_th = 2.634559e+00, time=2024-09-06 17:07:56 
jj1 = 255, max_th = 2.625762e+00, time=2024-09-06 17:08:48 
jj1 = 408, max_th = 1.542108e+00, time=2024-09-06 17:09:17 
jj1 = 34, max_th = 1.870929e+00, time=2024-09-06 17:09:34 
jj1 = 487, max_th = 2.228312e+00, time=2024-09-06 17:10:05 
jj1 = 254, max_th = 6.558729e-01, time=2024-09-06 17:10:34 
jj1 = 372, max_th = 2.226854e+00, time=2024-09-06 17:10:38 
jj1 = 450, max_th = 1.651106e+00, time=2024-09-06 17:11:49 
jj1 = 215, max_th = 2.407733e+00, time=2024-09-06 17:12:03 
jj1 = 371, max_th = 1.028157e+00, time=2024-09-06 17:12:44 
jj1 = 214, max_th = 3.598415e+00, time=2024-09-06 17:14:47 
jj1 = 407, max_th = 2.418326e+00, time=2024-09-06 17:15:11 
jj1 = 449, max_th = 1.047560e+00, time=2024-09-06 17:15:56 
jj1 = 486, max_th = 1.108117e+00, time=2024-09-06 17:16:27 
jj1 = 406, max_th = -1.374803e-03, time=2024-09-06 17:17:28 
jj1 = 253, max_th = 1.442206e+00, time=2024-09-06 17:17:57 
jj1 = 293, max_th = 1.621434e+00, time=2024-09-06 17:18:53 
jj1 = 485, max_th = 2.649577e+00, time=2024-09-06 17:18:54 
jj1 = 33, max_th = 2.646748e+00, time=2024-09-06 17:19:00 
jj1 = 177, max_th = 1.275859e+00, time=2024-09-06 17:19:10 
jj1 = 527, max_th = 1.645326e+00, time=2024-09-06 17:19:45 
jj1 = 370, max_th = 2.349496e+00, time=2024-09-06 17:20:09 
jj1 = 95, max_th = 2.127725e+00, time=2024-09-06 17:21:44 
jj1 = 32, max_th = 1.418631e+00, time=2024-09-06 17:21:46 
jj1 = 405, max_th = 2.820985e+00, time=2024-09-06 17:21:50 
jj1 = 404, max_th = 2.915543e+00, time=2024-09-06 17:26:29 
jj1 = 403, max_th = 3.090225e+00, time=2024-09-06 17:26:57 
jj1 = 369, max_th = 1.999810e+00, time=2024-09-06 17:27:39 
jj1 = 176, max_th = 1.663059e+00, time=2024-09-06 17:27:49 
jj1 = 252, max_th = 1.616070e+00, time=2024-09-06 17:28:46 
jj1 = 31, max_th = 9.812036e-01, time=2024-09-06 17:30:00 
jj1 = 251, max_th = 3.124506e+00, time=2024-09-06 17:30:34 
jj1 = 484, max_th = 2.036051e+00, time=2024-09-06 17:30:52 
jj1 = 368, max_th = 2.945526e+00, time=2024-09-06 17:31:34 
jj1 = 448, max_th = 1.828959e+00, time=2024-09-06 17:31:54 
jj1 = 213, max_th = 1.651794e+00, time=2024-09-06 17:31:57 
jj1 = 94, max_th = 4.078578e-01, time=2024-09-06 17:32:21 
jj1 = 292, max_th = 2.262199e+00, time=2024-09-06 17:32:33 
jj1 = 402, max_th = 1.851882e+00, time=2024-09-06 17:33:22 
jj1 = 138, max_th = 1.933013e+00, time=2024-09-06 17:34:11 
jj1 = 291, max_th = 2.767608e+00, time=2024-09-06 17:34:21 
jj1 = 137, max_th = 3.360252e+00, time=2024-09-06 17:35:33 
jj1 = 483, max_th = 1.795117e+00, time=2024-09-06 17:36:29 
jj1 = 526, max_th = 2.097987e+00, time=2024-09-06 17:36:46 
jj1 = 290, max_th = 1.253052e+00, time=2024-09-06 17:39:09 
jj1 = 175, max_th = 1.890357e+00, time=2024-09-06 17:41:54 
jj1 = 333, max_th = -3.641552e-01, time=2024-09-06 17:42:02 
jj1 = 93, max_th = 2.276510e+00, time=2024-09-06 17:42:11 
jj1 = 401, max_th = 2.286705e+00, time=2024-09-06 17:44:56 
jj1 = 212, max_th = 1.737228e+00, time=2024-09-06 17:45:15 
jj1 = 211, max_th = 4.161207e-01, time=2024-09-06 17:48:13 
jj1 = 174, max_th = 1.474009e+00, time=2024-09-06 17:48:21 
jj1 = 482, max_th = 2.324568e+00, time=2024-09-06 17:49:04 
jj1 = 173, max_th = 3.331436e+00, time=2024-09-06 17:50:25 
jj1 = 289, max_th = 2.362981e+00, time=2024-09-06 17:51:16 
jj1 = 332, max_th = 2.943232e+00, time=2024-09-06 17:51:55 
jj1 = 525, max_th = 2.289467e+00, time=2024-09-06 17:52:38 
